itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,subject_yes_probability,yes_no_choice,continuation_response,cont_choice,prompt
I50,Frank daunted Tony. He,M,IC1,Ferstl et al.(2010),english,Frank,Tony,daunted,Frank,Subject,Yes,0.701799395,Subject,"was a formidable opponent in the boxing ring, and Tony had heard stories about his lightning-fast punches and unyielding determination.",Subject,pronoun
I51,Simon echoed Eric. He,M,IC1,Ferstl et al.(2010),english,Simon,Eric,echoed,Eric,Object,No,0.22755484444861634,Object,"was a man he had met only a few days ago, but his words still lingered in Simon's mind.",Object,pronoun
I52,Justin enthralled Zack. He,M,IC1,Ferstl et al.(2010),english,Justin,Zack,enthralled,Justin,Subject,Yes,0.9355014285898359,Subject,was captivated by Justin's charismatic smile and infectious laughter.,Object,pronoun
I53,Mike excited Paul. He,M,IC1,Ferstl et al.(2010),english,Mike,Paul,excited,Paul,Object,Yes,0.5374071729582507,Subject,had just told him that they were going on a surprise vacation to Hawaii.,Subject,pronoun
I54,Tony gladdened David. He,M,IC1,Ferstl et al.(2010),english,Tony,David,gladdened,David,Object,No,0.12037155299007167,Object,smiled warmly and thanked him for the thoughtful gift.,Object,pronoun
I55,Eric mesmerised Nick. He,M,IC1,Ferstl et al.(2010),english,Eric,Nick,mesmerised,Nick,Object,Yes,0.6413509408881249,Subject,was completely taken aback by Eric's unusual talent for juggling fire.,Object,pronoun
I56,Zack enraged Steve. He,M,IC1,Ferstl et al.(2010),english,Zack,Steve,enraged,Z,Subject,Yes,0.8169268531122139,Subject,"yelled at him in a loud, angry voice, causing the entire room to fall silent.",Ambiguous,pronoun
I57,Ben enticed Brian. He,M,IC1,Ferstl et al.(2010),english,Ben,Brian,enticed,Brian,Subject,No,0.39403873233041303,Object,decided to join him for a spontaneous road trip across the country.,Object,pronoun
I58,Paul provoked Frank. He,M,IC1,Ferstl et al.(2010),english,Paul,Frank,provoked,Paul,Subject,Yes,0.5273822594740336,Subject,was visibly upset and stormed out of the room.,Object,pronoun
I59,David unnerved Simon. He,M,IC1,Ferstl et al.(2010),english,David,Simon,unnerved,Simon,Object,Yes,0.6913134700434591,Subject,"had always been a quiet and reserved person, but David's sudden outburst had caught him completely off guard.",Object,pronoun
I60,Nick frightened Justin. He,M,IC1,Ferstl et al.(2010),english,Nick,Justin,frightened,Nick,Subject,Yes,0.6223398409939237,Subject,was so startled that he jumped out of his chair and ran out of the room.,Object,pronoun
I61,Steve troubled Mike. He,M,IC1,Ferstl et al.(2010),english,Steve,Mike,troubled,Steve,Subject,Yes,0.788921633,Subject,"was known for his eccentric behavior, often causing concern for those around him.",Subject,pronoun
I62,Brian repelled Tony. He,M,IC1,Ferstl et al.(2010),english,Brian,Tony,repelled,Brian,Subject,No,0.3465603276813753,Object,"was a skilled rock climber who had spent years mastering the art of repelling, but he never expected Tony to be so difficult to get down.",Subject,pronoun
I63,Frank sickened Eric. He,M,IC1,Ferstl et al.(2010),english,Frank,Eric,sickened,Eric,Object,Yes,0.5354576281168579,Subject,was furious at the betrayal.,Object,pronoun
I64,Simon revolted Zack. He,M,IC1,Ferstl et al.(2010),english,Simon,Zack,revolted,Simon,Subject,No,0.39873106288306426,Object,was taken aback by the sudden outburst and struggled to understand what had triggered such a strong reaction from his usually calm friend.,Object,pronoun
I65,Justin trailed Ben. He,M,IC1,Ferstl et al.(2010),english,Justin,Ben,trailed,Justin,Subject,Yes,0.6523125694195079,Subject,"was getting tired of always being in Ben's shadow, but he refused to give up and instead decided to push himself harder to catch up.",Subject,pronoun
I66,Mike upset David. He,M,IC1,Ferstl et al.(2010),english,Mike,David,upset,Mike,Subject,No,0.39924416252704764,Object,"was furious and stormed out of the room, slamming the door behind him.",Object,pronoun
I67,Tony exhausted Nick. He,M,IC1,Ferstl et al.(2010),english,Tony,Nick,exhausted,Nick,Object,Yes,0.7646897814922373,Subject,"had been trying to convince him to join a recreational basketball league for weeks, but Nick was still hesitant.",Subject,pronoun
I68,Eric wearied Steve. He,M,IC1,Ferstl et al.(2010),english,Eric,Steve,wearied,Steve,Object,No,0.26814686989697245,Object,had been working on the project for over 40 hours straight and desperately needed a break.,Subject,pronoun
I69,Zack staggered Brian. He,M,IC1,Ferstl et al.(2010),english,Zack,Brian,staggered,Z,Subject,Yes,0.5082155397501936,Subject,was still trying to process the shocking revelation that his best friend had been secretly working for their rival company.,Object,pronoun
I70,Ben cheated Frank. He,M,IC1,Ferstl et al.(2010),english,Ben,Frank,cheated,Ben,Subject,Yes,0.8695608211799085,Subject,was furious when he found out and confronted Ben about his dishonest behavior.,Object,pronoun
I71,Paul repaid Simon. He,M,IC1,Ferstl et al.(2010),english,Paul,Simon,repaid,Simon,Object,No,0.3446892330958697,Object,"had been waiting for that moment for weeks, ever since Simon had lent him the money to cover the emergency car repairs.",Subject,pronoun
I72,David astounded Justin. He,M,IC1,Ferstl et al.(2010),english,David,Justin,astounded,Justin,Object,Yes,0.819610203,Subject,was taken aback by the shocking news that his long-lost brother was alive.,Object,pronoun
I73,Nick exhilarated Mike. He,M,IC1,Ferstl et al.(2010),english,Nick,Mike,exhilarated,Nick,Subject,Yes,0.8293443829860245,Subject,was so thrilled by the surprise party that his friends had thrown for his birthday.,Object,pronoun
I74,Steve spooked Tony. He,M,IC1,Ferstl et al.(2010),english,Steve,Tony,spooked,Tony,Object,Yes,0.6865483194885763,Subject,"was startled and took a step back, his eyes wide with surprise.",Object,pronoun
I75,Brian unsettled Eric. He,M,IC1,Ferstl et al.(2010),english,Brian,Eric,unsettled,Brian,Subject,No,0.48886969693862004,Object,was taken aback by the sudden change in his demeanor.,Object,pronoun
I76,Frank flabbergasted Zack. He,M,IC1,Ferstl et al.(2010),english,Frank,Zack,flabbergasted,Z,Object,Yes,0.7253440941176688,Subject,had never seen his boss look so shocked in all the years he had worked at the company.,Object,pronoun
I77,Simon kissed Ben. He,M,IC1,Ferstl et al.(2010),english,Simon,Ben,kissed,Ben,Object,No,0.00843141,Object,was taken aback by the sudden display of affection.,Object,pronoun
I78,Justin nuzzled Paul. He,M,IC1,Ferstl et al.(2010),english,Justin,Paul,nuzzled,Justin,Subject,No,0.006666301,Object,"was taken aback by the sudden display of affection, but a warm smile spread across his face as he gently nuzzled Justin back.",Object,pronoun
I79,Mike pained Nick. He,M,IC1,Ferstl et al.(2010),english,Mike,Nick,pained,Nick,Object,No,0.27376491674746245,Object,was extremely hurt by Mike's harsh words.,Object,pronoun
I80,Tony confused Steve. He,M,IC1,Ferstl et al.(2010),english,Tony,Steve,confused,Steve,Object,Yes,0.5454270045084512,Subject,"was trying to explain the intricacies of quantum physics, but Steve just stared at him with a blank expression.",Subject,pronoun
I81,Eric distressed Brian. He,M,IC1,Ferstl et al.(2010),english,Eric,Brian,distressed,Brian,Object,Yes,0.8560004447474473,Subject,was visibly shaken by the news that his favorite childhood home was being sold to a new family.,Object,pronoun
I82,Zack vexed Frank. He,M,IC1,Ferstl et al.(2010),english,Zack,Frank,vexed,Z,Subject,No,0.4911381690965479,Object,"had been trying to get him to join the school's chess club for weeks, but Frank was more interested in playing video games.",Subject,pronoun
I83,Ben bothered Simon. He,M,IC1,Ferstl et al.(2010),english,Ben,Simon,bothered,Simon,Object,Yes,0.725683709,Subject,"was trying to get him to join the school play, but Simon was hesitant.",Subject,pronoun
I84,Paul alarmed Justin. He,M,IC1,Ferstl et al.(2010),english,Paul,Justin,alarmed,Paul,Subject,No,0.28531440171788824,Object,realized that something was seriously wrong when he saw the look of panic on his friend's face.,Subject,pronoun
I85,David disgruntled Mike. He,M,IC1,Ferstl et al.(2010),english,David,Mike,disgruntled,David,Subject,Yes,0.9001917486614915,Subject,was clearly unhappy about the latest changes to the company's policies.,Object,pronoun
I86,Nick plagued Tony. He,M,IC1,Ferstl et al.(2010),english,Nick,Tony,plagued,Tony,Object,Yes,0.5158656492825247,Subject,"had been a thorn in Tony's side for months, constantly making sarcastic comments and undermining his authority at work.",Subject,pronoun
I87,Steve shadowed Eric. He,M,IC1,Ferstl et al.(2010),english,Steve,Eric,shadowed,Eric,Object,No,0.22522708512333475,Object,was a skilled and ambitious young journalist trying to learn the ins and outs of investigative reporting from his experienced mentor.,Subject,pronoun
I88,Brian tailed Zack. He,M,IC1,Ferstl et al.(2010),english,Brian,Zack,tailed,Z,Object,No,0.45638538275787743,Object,"was an old friend from college, and Brian had lost touch with him after graduation.",Object,pronoun
I89,Frank incensed Ben. He,M,IC1,Ferstl et al.(2010),english,Frank,Ben,incensed,Ben,Object,Yes,0.9137623239748982,Subject,"was furious when he discovered that his prized possession, a rare baseball card, had been misplaced in the chaos of the garage sale.",Object,pronoun
I90,Simon baffled Paul. He,M,IC1,Ferstl et al.(2010),english,Simon,Paul,baffled,Paul,Object,Yes,0.8779703210225475,Subject,"had been trying to solve the complex math problem for hours, but no matter how hard he tried, he just couldn't crack the code.",Ambiguous,pronoun
I91,Justin shocked David. He,M,IC1,Ferstl et al.(2010),english,Justin,David,shocked,Justin,Subject,No,0.10299746485502581,Object,realized that his long-lost brother had just walked into the room.,Object,pronoun
I92,Mike disobeyed Steve. He,M,IC1,Ferstl et al.(2010),english,Mike,Steve,disobeyed,Steve,Object,No,0.053048349,Object,was immediately reprimanded by their boss for his insubordination.,Subject,pronoun
I93,Tony distracted Brian. He,M,IC1,Ferstl et al.(2010),english,Tony,Brian,distracted,Tony,Subject,Yes,0.6076821957646557,Subject,"was trying to focus on his math homework, but Tony's antics kept interrupting him.",Object,pronoun
I94,Eric married Frank. He,M,IC1,Ferstl et al.(2010),english,Eric,Frank,married,Eric,Subject,No,0.080813378,Object,decided to move to the countryside to start a new life together and pursue his passion for beekeeping.,Ambiguous,pronoun
I95,Zack met Simon. He,M,IC1,Ferstl et al.(2010),english,Zack,Simon,met,Z,Subject,No,0.20534248705151156,Object,"had been a friend of Zack's since high school, and they had lost touch after graduation, but a chance encounter at a coffee shop had rekindled their",Object,pronoun
I96,Ben ordered around Justin. He,M,IC1,Ferstl et al.(2010),english,Ben,Justin,ordered around,Ben,Subject,Yes,0.6836797696201111,Subject,wanted to get his attention before the big presentation.,Subject,pronoun
I97,Paul harmed Mike. He,M,IC1,Ferstl et al.(2010),english,Paul,Mike,harmed,Paul,Subject,No,0.18778727331476366,Object,was taken into custody by the police and charged with assault.,Subject,pronoun
I98,David astonished Tony. He,M,IC1,Ferstl et al.(2010),english,David,Tony,astonished,David,Subject,Yes,0.8864073970245607,Subject,"was standing in the doorway, a huge grin spreading across his face as he held up a small, wrapped box with a bright pink bow tied around it.",Subject,pronoun
I99,Nick bewildered Eric. He,M,IC1,Ferstl et al.(2010),english,Nick,Eric,bewildered,Nick,Subject,Yes,0.5842213586719632,Subject,was struggling to comprehend the complexity of the puzzle Nick had presented to him.,Object,pronoun
I100,Steve invigorated Zack. He,M,IC1,Ferstl et al.(2010),english,Steve,Zack,invigorated,Steve,Subject,Yes,0.793914583,Subject,was a great motivator and always knew just what to say to push his friends to reach their full potential.,Subject,pronoun
I101,Brian tantalized Ben. He,M,IC1,Ferstl et al.(2010),english,Brian,Ben,tantalized,Ben,Subject,No,0.2268114445718591,Object,had always been fascinated by the mysterious smile that played on Brian's lips when he revealed his next move in their chess match.,Object,pronoun
I102,Frank battled Paul. He,M,IC1,Ferstl et al.(2010),english,Frank,Paul,battled,Frank,Subject,No,0.083505962,Object,"had been his rival since childhood, and their ongoing feud had finally come to a head in this intense confrontation.",Ambiguous,pronoun
I103,Simon hurt David. He,M,IC1,Ferstl et al.(2010),english,Simon,David,hurt,David,Object,No,0.10225444459972685,Object,was furious and immediately confronted Simon about what had happened.,Object,pronoun
I104,Justin followed Nick. He,M,IC1,Ferstl et al.(2010),english,Justin,Nick,followed,Justin,Subject,No,0.28540805995028456,Object,was trying to get a glimpse of the mysterious girl who had caught his eye in the crowded mall.,Subject,pronoun
I105,Mike tormented Brian. He,M,IC1,Ferstl et al.(2010),english,Mike,Brian,tormented,Brian,Object,No,0.42284071534329465,Object,"had been bullying him for weeks, and Brian was starting to lose his patience.",Subject,pronoun
I106,Tony grazed Frank. He,M,IC1,Ferstl et al.(2010),english,Tony,Frank,grazed,Tony,Subject,No,0.073501062,Object,had been quietly watching him from across the field for what felt like hours.,NA,pronoun
I107,Eric played Simon. He,M,IC1,Ferstl et al.(2010),english,Eric,Simon,played,Simon,Object,Yes,0.776339224,Subject,"had always been a master of the classic game, and his friends often challenged him to a round whenever they got together.",NA,pronoun
I108,Zack dumbfounded Justin. He,M,IC1,Ferstl et al.(2010),english,Zack,Justin,dumbfounded,Z,Subject,Yes,0.8625194456452409,Subject,"walked into the room, eyes wide with shock, and stuttered, ""What's going on?""",Object,pronoun
I109,Ben flattered Mike. He,M,IC1,Ferstl et al.(2010),english,Ben,Mike,flattered,Mike,Object,No,0.25348719587156754,Object,"was taken aback by the kind words, but he tried not to let it go to his head.",Object,pronoun
I110,Paul alienated Tony. He,M,IC1,Ferstl et al.(2010),english,Paul,Tony,alienated,Tony,Object,Yes,0.5119083912995973,Subject,was shocked by the sudden change in their relationship and couldn't understand what he had done to deserve it.,Object,pronoun
I111,David harassed Eric. He,M,IC1,Ferstl et al.(2010),english,David,Eric,harassed,Eric,Object,No,0.15625808474928685,Object,was taken aback by the sudden outburst and tried to defend himself.,Object,pronoun
I112,Nick approached Zack. He,M,IC1,Ferstl et al.(2010),english,Nick,Zack,approached,Z,Object,No,0.29676689488569485,Object,"had been waiting for him for over an hour, and his patience was wearing thin.",Subject,pronoun
I113,Steve beguiled Ben. He,M,IC1,Ferstl et al.(2010),english,Steve,Ben,beguiled,Ben,Object,Yes,0.6751369877377918,Subject,"had been working on a complex puzzle for weeks and was on the verge of giving up, but Steve's sudden burst of insight and clever suggestion gave him the key",Object,pronoun
I114,Brian caressed Paul. He,M,IC1,Ferstl et al.(2010),english,Brian,Paul,caressed,Paul,Object,No,0.003731074,Object,was taken aback by the unexpected display of affection.,Object,pronoun
I115,Frank enlivened David. He,M,IC1,Ferstl et al.(2010),english,Frank,David,enlivened,David,Object,No,0.15814902072547388,Object,was a great motivator and always managed to bring out the best in those around him.,Subject,pronoun
I116,Simon corrupted Nick. He,M,IC1,Ferstl et al.(2010),english,Simon,Nick,corrupted,Nick,Object,No,0.3935102751921645,Object,was shocked and felt betrayed by his actions.,Object,pronoun
I117,Justin confounded Steve. He,M,IC1,Ferstl et al.(2010),english,Justin,Steve,confounded,Justin,Subject,Yes,0.7068819396823183,Subject,"had always been known for his quick wit and clever comebacks, but Steve was not one to back down from a challenge.",Subject,pronoun
I118,Mike deserted Frank. He,M,IC1,Ferstl et al.(2010),english,Mike,Frank,deserted,Mike,Subject,No,0.45245948745378584,Object,"was left standing alone in the deserted alleyway, feeling a mix of emotions as he tried to process what had just happened.",Object,pronoun
I119,Tony discouraged Simon. He,M,IC1,Ferstl et al.(2010),english,Tony,Simon,discouraged,Tony,Subject,Yes,0.7585657550487812,Subject,"had been trying to convince Tony to join him in his new business venture, but Tony's skepticism and doubts had already made up his mind against it.",Object,pronoun
I120,Eric tracked Justin. He,M,IC1,Ferstl et al.(2010),english,Eric,Justin,tracked,Justin,Object,Yes,0.618548226,Subject,"was running down the street, his feet pounding the pavement in a frantic attempt to catch up with his long-lost friend.",Subject,pronoun
I121,Zack startled Mike. He,M,IC1,Ferstl et al.(2010),english,Zack,Mike,startled,Z,Subject,No,0.11687565622254657,Object,"was taken aback by the sudden movement, his eyes wide with surprise as he stumbled backward, nearly knocking over the stack of books on the small table beside him",Object,pronoun
I122,Ben defamed Tony. He,M,IC1,Ferstl et al.(2010),english,Ben,Tony,defamed,Tony,Object,No,0.3331430424026171,Object,was subsequently taken to court by Tony for slander.,Subject,pronoun
I123,Paul abandoned Eric. He,M,IC1,Ferstl et al.(2010),english,Paul,Eric,abandoned,Paul,Subject,No,0.4205602329025553,Object,"decided to leave town immediately, feeling a mix of guilt and relief after their tumultuous relationship finally came to an end.",Subject,pronoun
I124,David courted Zack. He,M,IC1,Ferstl et al.(2010),english,David,Zack,courted,David,Subject,No,0.3557668502753358,Object,"was a charming and charismatic individual, known for his quick wit and captivating smile, and Zack found himself inexplicably drawn to his warm and genuine nature.",Subject,pronoun
I125,Nick wounded Ben. He,M,IC1,Ferstl et al.(2010),english,Nick,Ben,wounded,Ben,Object,Yes,0.5717825189835628,Subject,had been walking alone in the woods when a wild animal attacked him.,NA,pronoun
I126,Steve chilled Paul. He,M,IC1,Ferstl et al.(2010),english,Steve,Paul,chilled,Steve,Subject,No,0.4767495127813599,Object,decided to confront him about the strange look on his face.,Object,pronoun
I127,Brian nettled David. He,M,IC1,Ferstl et al.(2010),english,Brian,David,nettled,David,Object,Yes,0.8010265803720816,Subject,decided to confront him about his persistent behavior.,Object,pronoun
I128,Frank pursued Nick. He,M,IC1,Ferstl et al.(2010),english,Frank,Nick,pursued,Frank,Subject,No,0.3889439223826168,Object,"was running down the street, his eyes fixed intently on the figure in the distance.",Subject,pronoun
