itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,yes_no_choice,subject_yes_probability,continuation_response,cont_choice,prompt
I23,Brian agitated Simon.,M,IC1,Ferstl et al.(2010),english,Brian,Simon,agitated,Brian,Subject,Yes,Subject,0.970687705,Simon clenched his fists.,Object,free
I24,Frank angered Justin.,M,IC1,Ferstl et al.(2010),english,Frank,Justin,angered,Frank,Subject,No,Object,0.998498768,Justin clenched his fists.,Object,free
I25,Simon delighted Mike.,M,IC1,Ferstl et al.(2010),english,Simon,Mike,delighted,Simon,Subject,No,Object,0.982013776,Mike couldn't help but smile.,Object,free
I26,Justin pleased Tony.,M,IC1,Ferstl et al.(2010),english,Justin,Tony,pleased,Justin,Subject,No,Object,0.999290323,Tony smiled in response.,Object,free
I27,Mike called Zack.,M,IC1,Ferstl et al.(2010),english,Mike,Zack,called,Mike,Subject,Yes,Subject,0.377540668,Zack quickly picked up the phone.,Object,free
I28,Tony telephoned Ben.,M,IC1,Ferstl et al.(2010),english,Tony,Ben,telephoned,Tony,Subject,No,Object,0.998498768,Ben answered on the third ring.,Object,free
I29,Eric concerned Paul.,M,IC1,Ferstl et al.(2010),english,Eric,Paul,concerned,Eric,Subject,No,Object,0.977022617,Paul noticed Eric's anxious expression.,Object,free
I30,Zack irritated David.,M,IC1,Ferstl et al.(2010),english,Zack,David,irritated,Z,Subject,No,Object,0.970687705,David clenched his fists.,Object,free
I31,Ben antagonized Nick.,M,IC1,Ferstl et al.(2010),english,Ben,Nick,antagonized,Ben,Subject,No,Object,0.924141771,Nick clenched his fists in frustration.,Object,free
I32,Paul frustrated Steve.,M,IC1,Ferstl et al.(2010),english,Paul,Steve,frustrated,Paul,Subject,Yes,Subject,0.222700147,Steve clenched his fists.,Object,free
I33,David appalled Brian.,M,IC1,Ferstl et al.(2010),english,David,Brian,appalled,David,Subject,No,Object,0.4378235,"Brian stepped back, his face tightening with disbelief.",Object,free
I34,Nick captivated Frank.,M,IC1,Ferstl et al.(2010),english,Nick,Frank,captivated,Nick,Subject,No,Object,0.99682733,Frank couldn't help but lean in closer.,Object,free
I35,Steve inspired Simon.,M,IC1,Ferstl et al.(2010),english,Steve,Simon,inspired,Steve,Subject,No,Object,0.999903852,Simon decided to pursue his dream of becoming an artist.,Object,free
I36,Brian lied to Justin.,M,IC1,Ferstl et al.(2010),english,Brian,Justin,lied to,Brian,Subject,Yes,Subject,0.999841528,Justin immediately saw through it.,Object,free
I37,Frank maddened Mike.,M,IC1,Ferstl et al.(2010),english,Frank,Mike,maddened,Mike,Object,No,Object,0.985936321,Mike clenched his fists.,Object,free
I38,Simon peeved Tony.,M,IC1,Ferstl et al.(2010),english,Simon,Tony,peeved,Simon,Subject,No,Object,0.904650432,Tony clenched his fists and took a step closer.,Object,free
I39,Justin entranced Eric.,M,IC1,Ferstl et al.(2010),english,Justin,Eric,entranced,Justin,Subject,No,Object,0.679178676,Eric couldn't look away.,Object,free
I40,Mike intrigued Ben.,M,IC1,Ferstl et al.(2010),english,Mike,Ben,intrigued,Mike,Subject,No,Object,0.952574109,"Ben leaned in, eager to hear more.",Object,free
I41,Tony repulsed Paul.,M,IC1,Ferstl et al.(2010),english,Tony,Paul,repulsed,Tony,Subject,No,Object,0.952574109,Paul clenched his fists and took a step back.,Object,free
I42,Eric worried David.,M,IC1,Ferstl et al.(2010),english,Eric,David,worried,Eric,Subject,No,Object,0.993307127,David couldn't understand why Eric was acting so distant.,Object,free
I43,Zack betrayed Nick.,M,IC1,Ferstl et al.(2010),english,Zack,Nick,betrayed,Z,Subject,Yes,Subject,0.182425503,Nick vowed to make him regret it.,Object,free
I44,Ben confessed to Steve.,M,IC1,Ferstl et al.(2010),english,Ben,Steve,confessed to,Ben,Subject,No,Object,0.997527403,Steve took a moment to process what he had just heard.,Object,free
I45,Paul scared Brian.,M,IC1,Ferstl et al.(2010),english,Paul,Brian,scared,Paul,Subject,No,Object,0.622459311,"Brian stepped back, his face pale with shock.",Object,free
I46,David wowed Frank.,M,IC1,Ferstl et al.(2010),english,David,Frank,wowed,David,Subject,No,Object,0.904650432,Frank couldn't help but applaud.,Object,free
I47,Nick disappointed Simon.,M,IC1,Ferstl et al.(2010),english,Nick,Simon,disappointed,Nick,Subject,No,Object,0.939913259,Simon frowned and looked away.,Object,free
I48,Steve intimidated Justin.,M,IC1,Ferstl et al.(2010),english,Steve,Justin,intimidated,Steve,Subject,Yes,Subject,0.499999999,"Justin took a step back, trying to mask his unease.",Object,free
I49,Brian bugged Mike.,M,IC1,Ferstl et al.(2010),english,Brian,Mike,bugged,Brian,Subject,No,Object,0.817574431,Mike turned around with an annoyed expression.,Object,free
I50,Frank daunted Tony.,M,IC1,Ferstl et al.(2010),english,Frank,Tony,daunted,Frank,Subject,Yes,Subject,0.377540668,Tony clenched his fists in defiance.,Object,free
I51,Simon echoed Eric.,M,IC1,Ferstl et al.(2010),english,Simon,Eric,echoed,Simon,Subject,Yes,Subject,0.952574109,"He tilted his head, waiting for a response.",Subject,free
I52,Justin enthralled Zack.,M,IC1,Ferstl et al.(2010),english,Justin,Zack,enthralled,Justin,Subject,No,Object,0.562176503,Zack couldn't help but feel a spark of curiosity.,Object,free
I53,Mike excited Paul.,M,IC1,Ferstl et al.(2010),english,Mike,Paul,excited,Mike,Subject,No,Object,0.985936321,Paul couldn't contain his enthusiasm.,Object,free
I54,Tony gladdened David.,M,IC1,Ferstl et al.(2010),english,Tony,David,gladdened,Tony,Subject,No,Object,0.989012988,David smiled in response.,Object,free
I55,Eric mesmerised Nick.,M,IC1,Ferstl et al.(2010),english,Eric,Nick,mesmerised,Eric,Subject,No,Object,0.982013776,Nick couldn't look away.,Object,free
I56,Zack enraged Steve.,M,IC1,Ferstl et al.(2010),english,Zack,Steve,enraged,Z,Subject,No,Object,0.99682733,"Steve clenched his fists, ready to retaliate.",Object,free
I57,Ben enticed Brian.,M,IC1,Ferstl et al.(2010),english,Ben,Brian,enticed,Ben,Subject,No,Object,0.952574109,Brian hesitated for a moment.,Object,free
I58,Paul provoked Frank.,M,IC1,Ferstl et al.(2010),english,Paul,Frank,provoked,Paul,Subject,No,Object,0.962672994,Frank clenched his fists.,Object,free
I59,David unnerved Simon.,M,IC1,Ferstl et al.(2010),english,David,Simon,unnerved,David,Subject,Yes,Subject,0.904650432,Simon avoided making eye contact.,Object,free
I60,Nick frightened Justin.,M,IC1,Ferstl et al.(2010),english,Nick,Justin,frightened,Nick,Subject,No,Object,0.995929904,"Justin took a step back, his heart pounding in his chest.",Object,free
I61,Steve troubled Mike.,M,IC1,Ferstl et al.(2010),english,Steve,Mike,troubled,Steve,Subject,No,Object,0.817574431,Mike decided to confront Steve.,Object,free
I62,Brian repelled Tony.,M,IC1,Ferstl et al.(2010),english,Brian,Tony,repelled,Brian,Subject,Yes,Subject,0.99142243,Tony clenched his jaw and took a step back.,Object,free
I63,Frank sickened Eric.,M,IC1,Ferstl et al.(2010),english,Frank,Eric,sickened,Frank,Subject,No,Object,0.679178676,Eric couldn't forget the look in Frank's eyes.,Object,free
I64,Simon revolted Zack.,M,IC1,Ferstl et al.(2010),english,Simon,Zack,revolted,Simon,Subject,Yes,Subject,0.4378235,Zack glared at Simon and crossed his arms.,Object,free
I65,Justin trailed Ben.,M,IC1,Ferstl et al.(2010),english,Justin,Ben,trailed,Ben,Object,No,Object,0.880796994,"Ben glanced over his shoulder, sensing the weight of Justin's gaze.",Object,free
I66,Mike upset David.,M,IC1,Ferstl et al.(2010),english,Mike,David,upset,Mike,Subject,No,Object,0.99966459,David walked away without saying a word.,Object,free
I67,Tony exhausted Nick.,M,IC1,Ferstl et al.(2010),english,Tony,Nick,exhausted,Tony,Subject,No,Object,0.817574431,Nick sighed heavily.,Object,free
I68,Eric wearied Steve.,M,IC1,Ferstl et al.(2010),english,Eric,Steve,wearied,Eric,Subject,No,Object,0.119202913,Steve decided to step outside for some fresh air.,Object,free
I69,Zack staggered Brian.,M,IC1,Ferstl et al.(2010),english,Zack,Brian,staggered,Z,Subject,Yes,Subject,0.880796994,"Brian glared at Zack, his eyes narrowing in disbelief. ",Object,free
I70,Ben cheated Frank.,M,IC1,Ferstl et al.(2010),english,Ben,Frank,cheated,Ben,Subject,Yes,Subject,0.4378235,Frank decided to confront him.,Object,free
I71,Paul repaid Simon.,M,IC1,Ferstl et al.(2010),english,Paul,Simon,repaid,Paul,Subject,No,Object,0.4378235,Simon thanked him.,Object,free
I72,David astounded Justin.,M,IC1,Ferstl et al.(2010),english,David,Justin,astounded,David,Subject,Yes,Subject,0.880796994,Justin struggled to find the right words.,Object,free
I73,Nick exhilarated Mike.,M,IC1,Ferstl et al.(2010),english,Nick,Mike,exhilarated,Nick,Subject,No,Object,0.995929904,Mike couldn't help but grin.,Object,free
I74,Steve spooked Tony.,M,IC1,Ferstl et al.(2010),english,Steve,Tony,spooked,Steve,Subject,No,Object,0.817574431,Tony narrowed his eyes and crossed his arms.,Object,free
I75,Brian unsettled Eric.,M,IC1,Ferstl et al.(2010),english,Brian,Eric,unsettled,Brian,Subject,No,Object,0.989012988,"Eric took a step back, his brow furrowing in confusion.",Object,free
I76,Frank flabbergasted Zack.,M,IC1,Ferstl et al.(2010),english,Frank,Zack,flabbergasted,Frank,Subject,Yes,Subject,0.268941405,"Zack stood frozen, struggling to find the right words.",Object,free
I77,Simon kissed Ben.,M,IC1,Ferstl et al.(2010),english,Simon,Ben,kissed,Simon,Subject,No,Object,0.999998138,Ben smiled softly.,Object,free
I78,Justin nuzzled Paul.,M,IC1,Ferstl et al.(2010),english,Justin,Paul,nuzzled,Justin,Subject,No,Object,0.999088952,Paul smiled softly in response.,Object,free
I79,Mike pained Nick.,M,IC1,Ferstl et al.(2010),english,Mike,Nick,pained,Mike,Subject,No,Object,0.998830459,Nick clenched his fists.,Object,free
I80,Tony confused Steve.,M,IC1,Ferstl et al.(2010),english,Tony,Steve,confused,Tony,Subject,Yes,Subject,0.939913259,Steve furrowed his brow in frustration.,Object,free
I81,Eric distressed Brian.,M,IC1,Ferstl et al.(2010),english,Eric,Brian,distressed,Eric,Subject,No,Object,0.679178676,Brian clenched his fists in frustration.,Object,free
I82,Zack vexed Frank.,M,IC1,Ferstl et al.(2010),english,Zack,Frank,vexed,Z,Subject,No,Object,0.997527403,Frank clenched his fists.,Object,free
I83,Ben bothered Simon.,M,IC1,Ferstl et al.(2010),english,Ben,Simon,bothered,Ben,Subject,Yes,Subject,0.99142243,Simon turned to face him.,Object,free
I84,Paul alarmed Justin.,M,IC1,Ferstl et al.(2010),english,Paul,Justin,alarmed,Paul,Subject,No,Object,0.268941405,Justin immediately took a step back.,Object,free
I85,David disgruntled Mike.,M,IC1,Ferstl et al.(2010),english,David,Mike,disgruntled,David,Subject,No,Object,0.995929904,Mike clenched his fists in frustration.,Object,free
I86,Nick plagued Tony.,M,IC1,Ferstl et al.(2010),english,Nick,Tony,plagued,Nick,Subject,No,Object,0.622459256,Tony clenched his fists.,Object,free
I87,Steve shadowed Eric.,M,IC1,Ferstl et al.(2010),english,Steve,Eric,shadowed,Steve,Subject,No,Object,0.985936321,"Eric glanced over his shoulder, sensing the presence.",Object,free
I88,Brian tailed Zack.,M,IC1,Ferstl et al.(2010),english,Brian,Zack,tailed,Brian,Subject,Yes,Subject,0.970687705,He wondered what Zack was hiding.,Subject,free
I89,Frank incensed Ben.,M,IC1,Ferstl et al.(2010),english,Frank,Ben,incensed,Frank,Subject,Yes,Subject,0.817574431,Ben clenched his fists in frustration.,Object,free
I90,Simon baffled Paul.,M,IC1,Ferstl et al.(2010),english,Simon,Paul,baffled,Simon,Subject,No,Object,0.817574431,Paul shook his head in disbelief.,Object,free
I91,Justin shocked David.,M,IC1,Ferstl et al.(2010),english,Justin,David,shocked,Justin,Subject,No,Object,0.985936321,"David stumbled back, his face twisted in confusion.",Object,free
I92,Mike disobeyed Steve.,M,IC1,Ferstl et al.(2010),english,Mike,Steve,disobeyed,Mike,Subject,No,Object,0.995929904,Steve glared at him in frustration.,Object,free
I93,Tony distracted Brian.,M,IC1,Ferstl et al.(2010),english,Tony,Brian,distracted,Tony,Subject,No,Object,0.679178676,Brian turned to see what Tony was pointing at.,Object,free
I94,Eric married Frank.,M,IC1,Ferstl et al.(2010),english,Eric,Frank,married,Eric,Subject,No,Object,0.998498649,They decided to move to a quiet house in the countryside.,they,free
I95,Zack met Simon.,M,IC1,Ferstl et al.(2010),english,Zack,Simon,met,Z,Subject,No,Object,0.268941405,Simon extended his hand for a firm handshake.,Object,free
I96,Ben ordered around Justin.,M,IC1,Ferstl et al.(2010),english,Ben,Justin,ordered around,Ben,Subject,No,Object,0.982013659,Justin clenched his fists but took a deep breath to stay calm.,Object,free
I97,Paul harmed Mike.,M,IC1,Ferstl et al.(2010),english,Paul,Mike,harmed,Paul,Subject,No,Object,0.982013776,Mike decided to confront Paul about his actions.,Object,free
I98,David astonished Tony.,M,IC1,Ferstl et al.(2010),english,David,Tony,astonished,David,Subject,No,Object,0.962672994,Tony took a moment to process what just happened.,Object,free
I99,Nick bewildered Eric.,M,IC1,Ferstl et al.(2010),english,Nick,Eric,bewildered,Nick,Subject,Yes,Subject,0.952574109,"Eric took a step back, trying to process what had just happened.",Object,free
I100,Steve invigorated Zack.,M,IC1,Ferstl et al.(2010),english,Steve,Zack,invigorated,Steve,Subject,No,Object,0.99979648,"Zack stood up straighter, feeling a surge of determination.",Object,free
I101,Brian tantalized Ben.,M,IC1,Ferstl et al.(2010),english,Brian,Ben,tantalized,Brian,Subject,No,Object,0.998498768,Ben clenched his fists in frustration.,Object,free
I102,Frank battled Paul.,M,IC1,Ferstl et al.(2010),english,Frank,Paul,battled,Frank,Subject,No,Object,0.989012988,Paul countered with a swift strike.,Object,free
I103,Simon hurt David.,M,IC1,Ferstl et al.(2010),english,Simon,David,hurt,Simon,Subject,No,Object,0.999986933,"David stepped back, clutching his arm in shock.",Object,free
I104,Justin followed Nick.,M,IC1,Ferstl et al.(2010),english,Justin,Nick,followed,Justin,Subject,Yes,Subject,0.998073226,He wondered where Nick was leading him.,Subject,free
I105,Mike tormented Brian.,M,IC1,Ferstl et al.(2010),english,Mike,Brian,tormented,Mike,Subject,No,Object,0.977022617,Brian decided to confront Mike.,Object,free
I106,Tony grazed Frank.,M,IC1,Ferstl et al.(2010),english,Tony,Frank,grazed,Tony,Subject,No,Object,0.991422312,"Frank staggered back, his jaw tightening.",Object,free
I107,Eric played Simon.,M,IC1,Ferstl et al.(2010),english,Eric,Simon,played,Eric,Subject,No,Object,0.777299797,Simon responded with a smirk.,Object,free
I108,Zack dumbfounded Justin.,M,IC1,Ferstl et al.(2010),english,Zack,Justin,dumbfounded,Z,Subject,No,Object,0.437823474,Justin stared at Zack in disbelief.,Object,free
I109,Ben flattered Mike.,M,IC1,Ferstl et al.(2010),english,Ben,Mike,flattered,Ben,Subject,No,Object,0.999980972,"Mike smiled, appreciating the compliment.",Object,free
I110,Paul alienated Tony.,M,IC1,Ferstl et al.(2010),english,Paul,Tony,alienated,Tony,Object,Yes,Subject,0.320821271,Tony decided to keep his distance.,Object,free
I111,David harassed Eric.,M,IC1,Ferstl et al.(2010),english,David,Eric,harassed,David,Subject,No,Object,0.904650432,Eric decided to report David's behavior to their supervisor.,Object,free
I112,Nick approached Zack.,M,IC1,Ferstl et al.(2010),english,Nick,Zack,approached,Nick,Subject,No,Object,0.970687705,Zack looked up and gave a faint smile.,Object,free
I113,Steve beguiled Ben.,M,IC1,Ferstl et al.(2010),english,Steve,Ben,beguiled,Steve,Subject,Yes,Subject,0.148047208,Ben retaliated swiftly.,Object,free
I114,Brian caressed Paul.,M,IC1,Ferstl et al.(2010),english,Brian,Paul,caressed,Brian,Subject,No,Object,0.99999623,Paul leaned into the touch.,Object,free
I115,Frank enlivened David.,M,IC1,Ferstl et al.(2010),english,Frank,David,enlivened,Frank,Subject,No,Object,0.995929904,David smiled for the first time in days.,Object,free
I116,Simon corrupted Nick.,M,IC1,Ferstl et al.(2010),english,Simon,Nick,corrupted,Simon,Subject,No,Object,0.995929904,Nick sought revenge.,Object,free
I117,Justin confounded Steve.,M,IC1,Ferstl et al.(2010),english,Justin,Steve,confounded,Justin,Subject,Yes,Subject,0.817574431,"Steve paused, trying to make sense of what had just happened.",Object,free
I118,Mike deserted Frank.,M,IC1,Ferstl et al.(2010),english,Mike,Frank,deserted,Mike,Subject,No,Object,0.998830459,"Frank stood in silence, unsure of what to do next.",Object,free
I119,Tony discouraged Simon.,M,IC1,Ferstl et al.(2010),english,Tony,Simon,discouraged,Tony,Subject,No,Object,0.904650432,Simon refused to back down.,Object,free
I120,Eric tracked Justin.,M,IC1,Ferstl et al.(2010),english,Eric,Justin,tracked,Eric,Subject,No,Object,0.999290323,He moved stealthily to avoid being noticed.,Subject,free
I121,Zack startled Mike.,M,IC1,Ferstl et al.(2010),english,Zack,Mike,startled,Z,Subject,No,Object,0.994779909,"Mike took a step back, his eyes wide with surprise.",Object,free
I122,Ben defamed Tony.,M,IC1,Ferstl et al.(2010),english,Ben,Tony,defamed,Ben,Subject,No,Object,0.999964523,Tony decided to confront Ben.,Object,free
I123,Paul abandoned Eric.,M,IC1,Ferstl et al.(2010),english,Paul,Eric,abandoned,Paul,Subject,Yes,Subject,0.851952735,"Eric stood motionless, staring after him.",Object,free
I124,David courted Zack.,M,IC1,Ferstl et al.(2010),english,David,Zack,courted,David,Subject,No,Object,0.970687705,Zack found himself unexpectedly intrigued.,Object,free
I125,Nick wounded Ben.,M,IC1,Ferstl et al.(2010),english,Nick,Ben,wounded,Nick,Subject,No,Object,0.995929904,"Ben staggered backward, clutching his side.",Object,free
I126,Steve chilled Paul.,M,IC1,Ferstl et al.(2010),english,Steve,Paul,chilled,Steve,Subject,No,Object,0.731058513,Paul shivered uncontrollably.,Object,free
I127,Brian nettled David.,M,IC1,Ferstl et al.(2010),english,Brian,David,nettled,Brian,Subject,No,Object,0.851952824,David clenched his fists.,Object,free
I128,Frank pursued Nick.,M,IC1,Ferstl et al.(2010),english,Frank,Nick,pursued,Frank,Subject,No,Object,0.998498768,Nick darted into the alley.,Object,free
I129,Simon dreamed about Steve.,M,IC1,Ferstl et al.(2010),english,Simon,Steve,dreamed about,Simon,Subject,No,Object,0.999997899,"Steve stood at the edge of a vast, glowing forest, beckoning him to follow.",Object,free
I130,Justin galled Brian.,M,IC1,Ferstl et al.(2010),english,Justin,Brian,galled,Justin,Subject,Yes,Subject,0.904650432,Brian clenched his fists in frustration.,Object,free
I131,Mike stimulated Simon.,M,IC1,Ferstl et al.(2010),english,Mike,Simon,stimulated,Mike,Subject,No,Object,0.999290323,Simon responded with a puzzled expression.,Object,free
I132,Tony affected Justin.,M,IC1,Ferstl et al.(2010),english,Tony,Justin,affected,Tony,Subject,No,Object,0.982013776,Justin felt the weight of Tony's words.,Object,free
I133,Eric embraced Mike.,M,IC1,Ferstl et al.(2010),english,Eric,Mike,embraced,Eric,Subject,No,Object,0.999569424,Mike patted Eric on the back.,Object,free
I134,Zack fazed Tony.,M,IC1,Ferstl et al.(2010),english,Zack,Tony,fazed,Z,Subject,Yes,Subject,0.880796994,Tony clenched his fists.,Object,free
I135,Ben debated with Eric.,M,IC1,Ferstl et al.(2010),english,Ben,Eric,debated with,Ben,Subject,No,Object,0.851952824,Eric stood his ground firmly.,Object,free
I136,Paul defied Zack.,M,IC1,Ferstl et al.(2010),english,Paul,Zack,defied,Paul,Subject,No,Object,0.904650432,Zack clenched his fists.,Object,free
I137,David questioned Ben.,M,IC1,Ferstl et al.(2010),english,David,Ben,questioned,David,Subject,No,Object,0.99944712,Ben hesitated before giving his response.,Object,free
I138,Nick assisted Paul.,M,IC2,Rohde & Kehler (2014),english,Nick,Paul,assisted,Nick,Subject,No,Object,0.924141771,Paul thanked Nick for his help.,Object,free
I139,Steve blames David.,M,IC2,Rohde & Kehler (2014),english,Steve,David,blames,Steve,Subject,No,Object,0.999738698,David denies responsibility.,Object,free
I140,Brian comforted Nick.,M,IC2,Rohde & Kehler (2014),english,Brian,Nick,comforted,Brian,Subject,No,Object,0.99944712,Nick appreciated Brian's support.,Object,free
I141,Frank congratulated Steve.,M,IC2,Rohde & Kehler (2014),english,Frank,Steve,congratulated,Frank,Subject,No,Object,0.999997661,Steve thanked him warmly.,Object,free
I142,Simon corrected Brian.,M,IC2,Rohde & Kehler (2014),english,Simon,Brian,corrected,Simon,Subject,No,Object,0.952574109,Brian nodded thoughtfully.,Object,free
I143,Justin detests Frank.,M,IC2,Rohde & Kehler (2014),english,Justin,Frank,detests,Justin,Subject,No,Object,0.995929904,Frank is oblivious to Justin's feelings.,Object,free
I144,Mike fears Justin.,M,IC2,Rohde & Kehler (2014),english,Mike,Justin,fears,Mike,Subject,No,Object,0.999948431,Justin senses Mike's unease.,Object,free
I145,Tony envies Mike.,M,IC2,Rohde & Kehler (2014),english,Tony,Mike,envies,Tony,Subject,No,Object,0.999903852,Mike inspires Tony.,Object,free
I146,Eric hates Tony.,M,IC2,Rohde & Kehler (2014),english,Eric,Tony,hates,Eric,Subject,No,Object,0.970687705,Tony knows this.,Object,free
I147,Zack helped Eric.,M,IC2,Rohde & Kehler (2014),english,Zack,Eric,helped,Z,Subject,No,Object,0.777299867,Eric thanked Zack.,Object,free
I148,Ben mocked Zack.,M,IC2,Rohde & Kehler (2014),english,Ben,Zack,mocked,Ben,Subject,No,Object,0.99142243,Zack clenched his fists.,Object,free
I149,Paul noticed Ben.,M,IC2,Rohde & Kehler (2014),english,Paul,Ben,noticed,Paul,Subject,No,Object,0.999738698,"Ben looked away, pretending not to see him.",Object,free
I150,David pacified Paul.,M,IC2,Rohde & Kehler (2014),english,David,Paul,pacified,David,Subject,No,Object,0.982013776,Paul took a deep breath.,Object,free
I151,Nick praised David.,M,IC2,Rohde & Kehler (2014),english,Nick,David,praised,Nick,Subject,No,Object,0.99997239,David smiled modestly.,Object,free
I152,Steve reproached Nick.,M,IC2,Rohde & Kehler (2014),english,Steve,Nick,reproached,Steve,Subject,No,Object,0.99966459,Nick looked away silently.,Object,free
I153,Brian scolded Steve.,M,IC2,Rohde & Kehler (2014),english,Brian,Steve,scolded,Brian,Subject,No,Object,0.952574109,Steve clenched his fists in frustration.,Object,free
I154,Frank stared at Brian.,M,IC2,Rohde & Kehler (2014),english,Frank,Brian,stared at,Frank,Subject,No,Object,0.999997422,Brian met his gaze with a hint of defiance.,Object,free
I155,Simon thanked Frank.,M,IC2,Rohde & Kehler (2014),english,Simon,Frank,thanked,Simon,Subject,No,Object,0.999993727,Frank nodded in acknowledgment.,Object,free
I156,Justin trusted Simon.,M,IC2,Rohde & Kehler (2014),english,Justin,Simon,trusted,Justin,Subject,No,Object,0.777299867,Simon had never given him a reason not to.,Object,free
I157,Mike values Tony.,M,IC2,Rohde & Kehler (2014),english,Mike,Tony,values,Mike,Subject,No,Object,0.999925069,Tony respects Mike.,Object,free
I158,Tony cuddled Eric.,M,IC2,Ferstl et al.(2010),english,Tony,Eric,cuddled,Tony,Subject,No,Object,0.997527403,Eric smiled softly.,Object,free
I159,Eric decried Zack.,M,IC2,Ferstl et al.(2010),english,Eric,Zack,decried,Eric,Subject,No,Object,0.989012988,"Zack stood silently, his expression unyielding.",Object,free
I160,Zack moved Ben.,M,IC2,Ferstl et al.(2010),english,Zack,Ben,moved,Z,Subject,Yes,Subject,0.562176503,Ben stumbled but quickly regained his balance.,Object,free
I161,Ben deprecated Paul.,M,IC2,Ferstl et al.(2010),english,Ben,Paul,deprecated,Ben,Subject,No,Object,0.999088952,Paul ignored him.,Object,free
I162,Paul encouraged David.,M,IC2,Ferstl et al.(2010),english,Paul,David,encouraged,Paul,Subject,No,Object,0.997527403,David nodded thoughtfully.,Object,free
