itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,yes_no_choice,subject_yes_probability,continuation_response,cont_choice,prompt
I29,Eric concerned Paul.,M,IC1,Ferstl et al.(2010),english,Eric,Paul,concerned,Eric,Subject,No,Object,0.469696115,Paul tried to reassure Eric that everything was going to be okay.,Object,free
I30,Zack irritated David.,M,IC1,Ferstl et al.(2010),english,Zack,David,irritated,Z,Subject,Yes,Subject,0.650084794,"David stormed out of the room, slamming the door behind him.",Object,free
I31,Ben antagonized Nick.,M,IC1,Ferstl et al.(2010),english,Ben,Nick,antagonized,Ben,Subject,Yes,Subject,0.952638732,Nick retaliated by spreading rumors about Ben's personal life throughout the entire school.,Object,free
I32,Paul frustrated Steve.,M,IC1,Ferstl et al.(2010),english,Paul,Steve,frustrated,Paul,Subject,Yes,Subject,0.566507706,"Steve then walked away, visibly upset by Paul's behavior.",Object,free
I33,David appalled Brian.,M,IC1,Ferstl et al.(2010),english,David,Brian,appalled,David,Subject,Yes,Subject,0.767140444,Brian was taken aback by David's behavior and decided to confront him about it.,Object,free
I34,Nick captivated Frank.,M,IC1,Ferstl et al.(2010),english,Nick,Frank,captivated,Nick,Subject,Yes,Subject,0.974328911,Frank couldn't help but stare back at Nick.,Object,free
I35,Steve inspired Simon.,M,IC1,Ferstl et al.(2010),english,Steve,Simon,inspired,Steve,Subject,No,Object,0.484387869,Simon then went on to create a series of innovative designs that impressed everyone in the company.,Object,free
I36,Brian lied to Justin.,M,IC1,Ferstl et al.(2010),english,Brian,Justin,lied to,Justin,Object,Yes,Subject,0.959794765,Justin was furious and immediately confronted Brian about the deception.,Object,free
I37,Frank maddened Mike.,M,IC1,Ferstl et al.(2010),english,Frank,Mike,maddened,Frank,Subject,Yes,Subject,0.529200735,Mike immediately retaliated by throwing a book at Frank.,Object,free
I38,Simon peeved Tony.,M,IC1,Ferstl et al.(2010),english,Simon,Tony,peeved,Simon,Subject,Yes,Subject,0.907873726,Tony shot back a withering glance at Simon.,Object,free
I39,Justin entranced Eric.,M,IC1,Ferstl et al.(2010),english,Justin,Eric,entranced,Justin,Subject,Yes,Subject,0.964094891,Eric couldn't look away from Justin's intense gaze.,Object,free
I40,Mike intrigued Ben.,M,IC1,Ferstl et al.(2010),english,Mike,Ben,intrigued,Mike,Subject,Yes,Subject,0.792744628,Ben couldn't help but wonder what Mike was thinking as he stared at him with an unreadable expression.,Object,free
I41,Tony repulsed Paul.,M,IC1,Ferstl et al.(2010),english,Tony,Paul,repulsed,Tony,Subject,Yes,Subject,0.878631925,"Paul stormed out of the room, slamming the door behind him.",Object,free
I42,Eric worried David.,M,IC1,Ferstl et al.(2010),english,Eric,David,worried,Eric,Subject,No,Object,0.314706743,David tried to reassure him that everything would be okay.,Object,free
I43,Zack betrayed Nick.,M,IC1,Ferstl et al.(2010),english,Zack,Nick,betrayed,Z,Subject,Yes,Subject,0.967241356,Nick was devastated by the betrayal and immediately cut off all ties with Zack.,Object,free
I44,Ben confessed to Steve.,M,IC1,Ferstl et al.(2010),english,Ben,Steve,confessed to,Ben,Subject,Yes,Subject,0.899646817,"Steve listened intently, his expression unreadable as Ben poured out his heart.",Object,free
I45,Paul scared Brian.,M,IC1,Ferstl et al.(2010),english,Paul,Brian,scared,Paul,Subject,Yes,Subject,0.912068856,Brian ran quickly out of the room to escape Paul's intimidating presence.,Object,free
I46,David wowed Frank.,M,IC1,Ferstl et al.(2010),english,David,Frank,wowed,David,Subject,Yes,Subject,0.876957101,Frank was impressed by David's incredible magic trick and immediately asked him to perform another one.,Object,free
I47,Nick disappointed Simon.,M,IC1,Ferstl et al.(2010),english,Nick,Simon,disappointed,Nick,Subject,Yes,Subject,0.905017478,"Simon stormed out of the room, slamming the door behind him.",Object,free
I48,Steve intimidated Justin.,M,IC1,Ferstl et al.(2010),english,Steve,Justin,intimidated,Steve,Subject,Yes,Subject,0.887483797,"Justin slowly backed away from Steve, trying not to make any sudden movements that might provoke him further.",Object,free
I49,Brian bugged Mike.,M,IC1,Ferstl et al.(2010),english,Brian,Mike,bugged,Brian,Subject,Yes,Subject,0.914648503,Mike then turned to Brian and asked him what he wanted.,Object,free
I50,Frank daunted Tony.,M,IC1,Ferstl et al.(2010),english,Frank,Tony,daunted,Frank,Subject,Yes,Subject,0.928478771,"Tony slowly backed away, trying not to make any sudden movements that might provoke Frank further.",Object,free
I51,Simon echoed Eric.,M,IC1,Ferstl et al.(2010),english,Simon,Eric,echoed,Simon,Subject,No,Object,0.039224891,"Eric then turned to face him, a look of surprise on his face.",Object,free
I52,Justin enthralled Zack.,M,IC1,Ferstl et al.(2010),english,Justin,Zack,enthralled,Justin,Subject,Yes,Subject,0.966288702,Zack couldn't help but stare at Justin in awe.,Object,free
I53,Mike excited Paul.,M,IC1,Ferstl et al.(2010),english,Mike,Paul,excited,Mike,Subject,No,Object,0.492052841,Paul immediately began telling the whole story to their friend Emily.,Object,free
I54,Tony gladdened David.,M,IC1,Ferstl et al.(2010),english,Tony,David,gladdened,Tony,Subject,No,Object,0.422115704,David smiled warmly at Tony in response.,Object,free
I55,Eric mesmerised Nick.,M,IC1,Ferstl et al.(2010),english,Eric,Nick,mesmerised,Eric,Subject,Yes,Subject,0.956500612,Nick couldn't look away from Eric's intense gaze.,Object,free
I56,Zack enraged Steve.,M,IC1,Ferstl et al.(2010),english,Zack,Steve,enraged,Z,Subject,Yes,Subject,0.624664853,"Steve immediately confronted Zack, demanding to know what had triggered his outburst.",Object,free
I57,Ben enticed Brian.,M,IC1,Ferstl et al.(2010),english,Ben,Brian,enticed,Ben,Subject,Yes,Subject,0.866721045,Brian then decided to join Ben on his spontaneous road trip to the beach.,Object,free
I58,Paul provoked Frank.,M,IC1,Ferstl et al.(2010),english,Paul,Frank,provoked,Paul,Subject,Yes,Subject,0.76924558,"Frank immediately stood up and confronted Paul, his face red with anger.",Object,free
I59,David unnerved Simon.,M,IC1,Ferstl et al.(2010),english,David,Simon,unnerved,David,Subject,Yes,Subject,0.830480881,"Simon shifted uncomfortably in his seat, avoiding eye contact with David.",Object,free
I60,Nick frightened Justin.,M,IC1,Ferstl et al.(2010),english,Nick,Justin,frightened,Nick,Subject,Yes,Subject,0.827282217,"Justin slowly backed away from Nick, trying to process what had just happened.",Object,free
I61,Steve troubled Mike.,M,IC1,Ferstl et al.(2010),english,Steve,Mike,troubled,Steve,Subject,Yes,Subject,0.882180718,Mike decided to confront Steve about the issue that had been bothering him for weeks.,Object,free
I62,Brian repelled Tony.,M,IC1,Ferstl et al.(2010),english,Brian,Tony,repelled,Tony,Object,Yes,Subject,0.919143293,"Tony stormed out of the room, slamming the door behind him.",Object,free
I63,Frank sickened Eric.,M,IC1,Ferstl et al.(2010),english,Frank,Eric,sickened,Frank,Subject,No,Object,0.194866539,"Eric stumbled backward, his face pale and clammy as he struggled to process what Frank had just told him.",Object,free
I64,Simon revolted Zack.,M,IC1,Ferstl et al.(2010),english,Simon,Zack,revolted,Simon,Subject,Yes,Subject,0.638842388,Zack retaliated with a fierce determination that caught Simon off guard.,Object,free
I65,Justin trailed Ben.,M,IC1,Ferstl et al.(2010),english,Justin,Ben,trailed,Justin,Subject,Yes,Subject,0.949175173,"Ben suddenly stopped and turned around, his eyes locking onto Justin with a mixture of surprise and curiosity.",Object,free
I66,Mike upset David.,M,IC1,Ferstl et al.(2010),english,Mike,David,upset,Mike,Subject,Yes,Subject,0.639652622,"David stormed out of the room, slamming the door behind him.",Object,free
I67,Tony exhausted Nick.,M,IC1,Ferstl et al.(2010),english,Tony,Nick,exhausted,Tony,Subject,No,Object,0.257019939,"Nick then collapsed onto the couch, too tired to even change out of his sweaty workout clothes.",Object,free
I68,Eric wearied Steve.,M,IC1,Ferstl et al.(2010),english,Eric,Steve,wearied,Eric,Subject,No,Object,0.341306346,"Steve trudged along beside Eric, his eyes fixed on the ground as he struggled to keep up with his friend's relentless pace.",Object,free
I69,Zack staggered Brian.,M,IC1,Ferstl et al.(2010),english,Zack,Brian,staggered,Z,Subject,Yes,Subject,0.763699347,"Brian stumbled backward, clutching his jaw in surprise.",Object,free
I70,Ben cheated Frank.,M,IC1,Ferstl et al.(2010),english,Ben,Frank,cheated,Ben,Subject,Yes,Subject,0.831128641,Frank was furious and immediately confronted Ben about his dishonest actions.,Object,free
I71,Paul repaid Simon.,M,IC1,Ferstl et al.(2010),english,Paul,Simon,repaid,Paul,Subject,Yes,Subject,0.977451496,Simon was relieved that their debt was finally settled and he could focus on his upcoming music tour.,Object,free
I72,David astounded Justin.,M,IC1,Ferstl et al.(2010),english,David,Justin,astounded,David,Subject,Yes,Subject,0.946258995,"Justin looked at David with a mixture of confusion and curiosity, wondering what he had done to elicit such a strong reaction.",Object,free
I73,Nick exhilarated Mike.,M,IC1,Ferstl et al.(2010),english,Nick,Mike,exhilarated,Nick,Subject,No,Object,0.162518156,Mike immediately grabbed his backpack and followed Nick out the door.,Object,free
I74,Steve spooked Tony.,M,IC1,Ferstl et al.(2010),english,Steve,Tony,spooked,Steve,Subject,Yes,Subject,0.863619637,"Tony jumped back, startled, and accidentally knocked over his cup of coffee.",Object,free
I75,Brian unsettled Eric.,M,IC1,Ferstl et al.(2010),english,Brian,Eric,unsettled,Brian,Subject,Yes,Subject,0.650193215,"Eric stormed out of the room, slamming the door behind him.",Object,free
I76,Frank flabbergasted Zack.,M,IC1,Ferstl et al.(2010),english,Frank,Zack,flabbergasted,Frank,Subject,Yes,Subject,0.923035933,"Zack stood there frozen, unsure of how to respond to Frank's astonishing revelation.",Object,free
I77,Simon kissed Ben.,M,IC1,Ferstl et al.(2010),english,Simon,Ben,kissed,Simon,Subject,Yes,Subject,0.915538562,"Ben pulled back, a look of surprise on his face as he gazed up at Simon.",Object,free
I78,Justin nuzzled Paul.,M,IC1,Ferstl et al.(2010),english,Justin,Paul,nuzzled,Justin,Subject,Yes,Subject,0.965679533,"Paul smiled and wrapped his arms around Justin, holding him close.",Object,free
I79,Mike pained Nick.,M,IC1,Ferstl et al.(2010),english,Mike,Nick,pained,Mike,Subject,No,Object,0.153947282,Nick decided to take a break and walk away from the situation to calm down.,Object,free
I80,Tony confused Steve.,M,IC1,Ferstl et al.(2010),english,Tony,Steve,confused,Tony,Subject,Yes,Subject,0.920382541,"Steve raised an eyebrow, clearly unsure how to respond to Tony's bizarre behavior.",Object,free
I81,Eric distressed Brian.,M,IC1,Ferstl et al.(2010),english,Eric,Brian,distressed,Eric,Subject,Yes,Subject,0.73802873,"Brian then walked away, clearly upset by Eric's thoughtless words.",Object,free
I82,Zack vexed Frank.,M,IC1,Ferstl et al.(2010),english,Zack,Frank,vexed,Z,Subject,Yes,Subject,0.784270095,Frank retaliated by pulling a prank on Zack during their morning class.,Object,free
I83,Ben bothered Simon.,M,IC1,Ferstl et al.(2010),english,Ben,Simon,bothered,Ben,Subject,Yes,Subject,0.918108484,"Simon stormed out of the room, slamming the door behind him.",Object,free
I84,Paul alarmed Justin.,M,IC1,Ferstl et al.(2010),english,Paul,Justin,alarmed,Paul,Subject,Yes,Subject,0.895405953,"Justin immediately turned around to face Paul, a look of concern etched on his face.",Object,free
I85,David disgruntled Mike.,M,IC1,Ferstl et al.(2010),english,David,Mike,disgruntled,David,Subject,No,Object,0.174392207,Mike immediately confronted David about his behavior.,Object,free
I86,Nick plagued Tony.,M,IC1,Ferstl et al.(2010),english,Nick,Tony,plagued,Nick,Subject,Yes,Subject,0.912455385,Tony eventually lost his patience with Nick's constant jokes and teasing.,Object,free
I87,Steve shadowed Eric.,M,IC1,Ferstl et al.(2010),english,Steve,Eric,shadowed,Steve,Subject,Yes,Subject,0.965621573,Eric suddenly stopped in front of a large building and turned around to face Steve.,Object,free
I88,Brian tailed Zack.,M,IC1,Ferstl et al.(2010),english,Brian,Zack,tailed,Brian,Subject,Yes,Subject,0.967439477,Zack suddenly stopped in front of a small café and went inside.,Object,free
I89,Frank incensed Ben.,M,IC1,Ferstl et al.(2010),english,Frank,Ben,incensed,Frank,Subject,Yes,Subject,0.772802108,Ben immediately retaliated with a stern warning to Frank.,Object,free
I90,Simon baffled Paul.,M,IC1,Ferstl et al.(2010),english,Simon,Paul,baffled,Simon,Subject,Yes,Subject,0.992327189,"Paul shook his head, trying to clear the confusion that Simon's words had caused.",Object,free
I91,Justin shocked David.,M,IC1,Ferstl et al.(2010),english,Justin,David,shocked,Justin,Subject,Yes,Subject,0.925500564,"David stumbled backward, his eyes wide with surprise as he struggled to process what had just happened.",Object,free
I92,Mike disobeyed Steve.,M,IC1,Ferstl et al.(2010),english,Mike,Steve,disobeyed,Mike,Subject,Yes,Subject,0.944719668,Steve immediately called Mike into his office to discuss the matter further.,Object,free
I93,Tony distracted Brian.,M,IC1,Ferstl et al.(2010),english,Tony,Brian,distracted,Tony,Subject,Yes,Subject,0.902963849,Brian then lost his focus and stumbled over his own feet.,Object,free
I94,Eric married Frank.,M,IC1,Ferstl et al.(2010),english,Eric,Frank,married,Eric,Subject,No,Object,0.354380011,Frank was overjoyed and immediately began planning a surprise honeymoon for the two of them.,Object,free
I95,Zack met Simon.,M,IC1,Ferstl et al.(2010),english,Zack,Simon,met,Z,Subject,Yes,Subject,0.969589443,Simon smiled warmly and extended his hand to greet Zack.,Object,free
I96,Ben ordered around Justin.,M,IC1,Ferstl et al.(2010),english,Ben,Justin,ordered around,Ben,Subject,Yes,Subject,0.83247889,"Justin reluctantly followed Ben's instructions, clearly frustrated with being bossed around.",Object,free
I97,Paul harmed Mike.,M,IC1,Ferstl et al.(2010),english,Paul,Mike,harmed,Paul,Subject,Yes,Subject,0.771051308,Mike then confronted Paul about the harm he had caused.,Object,free
I98,David astonished Tony.,M,IC1,Ferstl et al.(2010),english,David,Tony,astonished,David,Subject,Yes,Subject,0.852077441,"Tony looked at David with a mixture of confusion and curiosity, wondering what had just happened to cause such a reaction.",Object,free
I99,Nick bewildered Eric.,M,IC1,Ferstl et al.(2010),english,Nick,Eric,bewildered,Nick,Subject,Yes,Subject,0.715796686,"Eric shook his head, trying to process what had just happened.",Object,free
I100,Steve invigorated Zack.,M,IC1,Ferstl et al.(2010),english,Steve,Zack,invigorated,Steve,Subject,No,Object,0.335777946,Zack then went on to tackle the rest of his day with renewed energy and enthusiasm.,Object,free
I101,Brian tantalized Ben.,M,IC1,Ferstl et al.(2010),english,Brian,Ben,tantalized,Brian,Subject,No,Object,0.373013687,Ben retaliated by pulling off a clever prank on Brian during lunch.,Object,free
I102,Frank battled Paul.,M,IC1,Ferstl et al.(2010),english,Frank,Paul,battled,Frank,Subject,Yes,Subject,0.989585719,"Paul stumbled backward, clutching his injured arm in pain.",Object,free
I103,Simon hurt David.,M,IC1,Ferstl et al.(2010),english,Simon,David,hurt,Simon,Subject,Yes,Subject,0.630531306,"David slowly got up, his eyes fixed angrily on Simon.",Object,free
I104,Justin followed Nick.,M,IC1,Ferstl et al.(2010),english,Justin,Nick,followed,Justin,Subject,Yes,Subject,0.89836395,"Nick quickly turned a corner into a narrow alleyway, disappearing from view.",Object,free
I105,Mike tormented Brian.,M,IC1,Ferstl et al.(2010),english,Mike,Brian,tormented,Mike,Subject,Yes,Subject,0.975979481,Brian eventually confronted Mike about his behavior and demanded that he stop.,Object,free
I106,Tony grazed Frank.,M,IC1,Ferstl et al.(2010),english,Tony,Frank,grazed,Tony,Subject,No,Object,0.198614988,"Frank stumbled backward, clutching his arm in pain.",Object,free
I107,Eric played Simon.,M,IC1,Ferstl et al.(2010),english,Eric,Simon,played,Eric,Subject,Yes,Subject,0.892964273,Simon was not happy about losing the game to Eric.,NA,free
I108,Zack dumbfounded Justin.,M,IC1,Ferstl et al.(2010),english,Zack,Justin,dumbfounded,Z,Subject,Yes,Subject,0.945117936,"Justin stood there, frozen in shock, as Zack walked away with a smug look on his face.",Object,free
I109,Ben flattered Mike.,M,IC1,Ferstl et al.(2010),english,Ben,Mike,flattered,Ben,Subject,No,Object,0.289677047,"Mike smiled warmly at Ben, clearly pleased by the compliment.",Object,free
I110,Paul alienated Tony.,M,IC1,Ferstl et al.(2010),english,Paul,Tony,alienated,Paul,Subject,Yes,Subject,0.8116883,Tony retaliated by spreading rumors about Paul's business dealings.,Object,free
I111,David harassed Eric.,M,IC1,Ferstl et al.(2010),english,David,Eric,harassed,David,Subject,Yes,Subject,0.755451815,Eric decided to report the incident to their supervisor.,Object,free
I112,Nick approached Zack.,M,IC1,Ferstl et al.(2010),english,Nick,Zack,approached,Nick,Subject,Yes,Subject,0.868861185,"Zack looked up from his phone, a mixture of curiosity and concern on his face as he waited for Nick to speak.",Object,free
I113,Steve beguiled Ben.,M,IC1,Ferstl et al.(2010),english,Steve,Ben,beguiled,Steve,Subject,Yes,Subject,0.94353913,Ben was completely taken in by Steve's charming smile and persuasive words.,Object,free
I114,Brian caressed Paul.,M,IC1,Ferstl et al.(2010),english,Brian,Paul,caressed,Brian,Subject,No,Object,0.240580894,Paul smiled warmly and leaned into Brian's gentle touch.,Object,free
I115,Frank enlivened David.,M,IC1,Ferstl et al.(2010),english,Frank,David,enlivened,Frank,Subject,Yes,Subject,0.7243466,David suddenly jumped up and began to dance in the middle of the room.,Object,free
I116,Simon corrupted Nick.,M,IC1,Ferstl et al.(2010),english,Simon,Nick,corrupted,Simon,Subject,Yes,Subject,0.91008793,"Nick then began to influence others in the group, including Emily, who was initially resistant to their new ideas.",Object,free
I117,Justin confounded Steve.,M,IC1,Ferstl et al.(2010),english,Justin,Steve,confounded,Justin,Subject,Yes,Subject,0.952062293,"Steve shook his head in confusion and turned to Justin, demanding an explanation for his bizarre behavior.",Object,free
I118,Mike deserted Frank.,M,IC1,Ferstl et al.(2010),english,Mike,Frank,deserted,Mike,Subject,Yes,Subject,0.842550215,"Frank was left to navigate the dense forest alone, his anger and confusion growing with each step.",Object,free
I119,Tony discouraged Simon.,M,IC1,Ferstl et al.(2010),english,Tony,Simon,discouraged,Tony,Subject,Yes,Subject,0.859556523,"Simon then decided to reevaluate his plan and seek a second opinion from their mutual friend, Rachel.",Object,free
I120,Eric tracked Justin.,M,IC1,Ferstl et al.(2010),english,Eric,Justin,tracked,Justin,Object,Yes,Subject,0.976404229,Justin suddenly stopped in his tracks and turned around to face Eric.,Object,free
I121,Zack startled Mike.,M,IC1,Ferstl et al.(2010),english,Zack,Mike,startled,Z,Subject,Yes,Subject,0.831216446,"Mike jumped back, almost knocking over his chair in the process.",Object,free
I122,Ben defamed Tony.,M,IC1,Ferstl et al.(2010),english,Ben,Tony,defamed,Ben,Subject,Yes,Subject,0.778321143,Tony decided to take legal action against Ben for damaging his reputation.,Object,free
I123,Paul abandoned Eric.,M,IC1,Ferstl et al.(2010),english,Paul,Eric,abandoned,Paul,Subject,Yes,Subject,0.780090486,Eric was left to fend for himself in the deserted alley.,Object,free
I124,David courted Zack.,M,IC1,Ferstl et al.(2010),english,David,Zack,courted,David,Subject,Yes,Subject,0.517207148,Zack was smitten with David's charming personality and sense of humor.,Object,free
I125,Nick wounded Ben.,M,IC1,Ferstl et al.(2010),english,Nick,Ben,wounded,Nick,Subject,Yes,Subject,0.687958564,"Ben slowly got up, clutching his injured arm in pain.",Object,free
I126,Steve chilled Paul.,M,IC1,Ferstl et al.(2010),english,Steve,Paul,chilled,Steve,Subject,No,Object,0.410842267,Paul then decided to avoid Steve for the rest of the day.,Object,free
I127,Brian nettled David.,M,IC1,Ferstl et al.(2010),english,Brian,David,nettled,Brian,Subject,Yes,Subject,0.919535359,David shot back a withering glance at Brian.,Object,free
I128,Frank pursued Nick.,M,IC1,Ferstl et al.(2010),english,Frank,Nick,pursued,Frank,Subject,Yes,Subject,0.960368436,"Nick quickly turned a corner, disappearing into a crowded alleyway.",Object,free
I129,Simon dreamed about Steve.,M,IC1,Ferstl et al.(2010),english,Simon,Steve,dreamed about,Simon,Subject,No,Object,0.00040258,"Steve was standing in a vast, open field, waving at Simon with a wide smile on his face.",Object,free
I130,Justin galled Brian.,M,IC1,Ferstl et al.(2010),english,Justin,Brian,galled,Justin,Subject,Yes,Subject,0.993200024,"Brian immediately called him back, demanding to know what was so urgent.",Object,free
I131,Mike stimulated Simon.,M,IC1,Ferstl et al.(2010),english,Mike,Simon,stimulated,Mike,Subject,No,Object,0.017669484,Simon then began to enthusiastically work on the project that Mike had assigned to him.,Object,free
I132,Tony affected Justin.,M,IC1,Ferstl et al.(2010),english,Tony,Justin,affected,Tony,Subject,No,Object,0.436915882,Justin consequently began to question his own motivations and behaviors as a result of Tony's influence.,Object,free
I133,Eric embraced Mike.,M,IC1,Ferstl et al.(2010),english,Eric,Mike,embraced,Eric,Subject,Yes,Subject,0.789592076,Mike smiled warmly and patted Eric on the back.,Object,free
I134,Zack fazed Tony.,M,IC1,Ferstl et al.(2010),english,Zack,Tony,fazed,Z,Subject,Yes,Subject,0.922086189,Tony then turned to face Zack with a mixture of confusion and annoyance.,Object,free
I135,Ben debated with Eric.,M,IC1,Ferstl et al.(2010),english,Ben,Eric,debated with,Ben,Subject,Yes,Subject,0.993365758,"Eric remained calm and collected, presenting his arguments in a clear and concise manner.",Object,free
I136,Paul defied Zack.,M,IC1,Ferstl et al.(2010),english,Paul,Zack,defied,Paul,Subject,Yes,Subject,0.986520613,Zack retaliated by challenging Paul to a heated debate in front of their classmates.,Object,free
I137,David questioned Ben.,M,IC1,Ferstl et al.(2010),english,David,Ben,questioned,David,Subject,Yes,Subject,0.890010405,"Ben looked at him suspiciously, wondering what he had done to provoke the inquiry.",Object,free
I138,Nick assisted Paul.,M,IC2,Rohde & Kehler (2014),english,Nick,Paul,assisted,Nick,Subject,Yes,Subject,0.954532024,"Paul then went on to help their colleague, Sarah, with her project.",Object,free
I139,Steve blames David.,M,IC2,Rohde & Kehler (2014),english,Steve,David,blames,Steve,Subject,No,Object,0.457049725,"David, feeling unfairly accused, immediately defended himself against the allegations.",Object,free
I140,Brian comforted Nick.,M,IC2,Rohde & Kehler (2014),english,Brian,Nick,comforted,Brian,Subject,Yes,Subject,0.792483831,"Nick slowly began to calm down, his tears subsiding as he listened to Brian's soothing words.",Object,free
