itemID,stimuli,gender,verb,study,language,subject,object,predicate,binary_choice_response,binary_choice,yes_no_response,subject_yes_probability,yes_no_choice,continuation_response,cont_choice,prompt
I14,Mike frightened Eric.,M,IC1,Rohde & Kehler (2014),english,Mike,Eric,frightened,Eric,Object,No,4.76E-09,Object,Eric's heart raced as he tried to stay calm.,Object,free
I15,Tony humiliated Zack.,M,IC1,Rohde & Kehler (2014),english,Tony,Zack,humiliated,Z,Object,No,8.17E-12,Object,Zack felt determined to turn the situation around and show everyone his true capabilities.,Object,free
I16,Eric infuriated Ben.,M,IC1,Rohde & Kehler (2014),english,Eric,Ben,infuriated,Ben,Object,No,1.27E-11,Object,"Ben stormed out of the room, clearly not willing to continue the conversation.",Object,free
I17,Zack inspires Paul.,M,IC1,Rohde & Kehler (2014),english,Zack,Paul,inspires,Paul,Object,No,6.68E-12,Object,Paul feels motivated to achieve his goals after spending time with Zack.,Object,free
I18,Ben intimidates David.,M,IC1,Rohde & Kehler (2014),english,Ben,David,intimidates,David,Object,No,3.48E-10,Object,David feels uncomfortable in Ben's presence.,Object,free
I19,Paul scares Nick.,M,IC1,Rohde & Kehler (2014),english,Paul,Nick,scares,Nick,Object,No,2.74E-11,Object,Nick tries to avoid Paul whenever possible.,Object,free
I20,David surprised Steve.,M,IC1,Rohde & Kehler (2014),english,David,Steve,surprised,Steve,Object,No,4.84E-11,Object,Steve couldn't believe what he was seeing.,Object,free
I21,Nick consulted Brian.,M,IC1,Ferstl et al.(2010),english,Nick,Brian,consulted,Brian,Object,No,5.40E-13,Object,Brian listened carefully to Nick's concerns.,Object,free
I22,Steve attracted Frank.,M,IC1,Ferstl et al.(2010),english,Steve,Frank,attracted,Frank,Object,No,1.50E-11,Object,Frank felt a strong curiosity to get to know Steve better.,Object,free
I23,Brian agitated Simon.,M,IC1,Ferstl et al.(2010),english,Brian,Simon,agitated,Simon,Object,No,3.28E-10,Object,Simon began to feel increasingly annoyed by Brian's actions.,Object,free
I24,Frank angered Justin.,M,IC1,Ferstl et al.(2010),english,Frank,Justin,angered,Justin,Object,No,1.65E-11,Object,Justin decided to confront Frank about his actions.,Object,free
I25,Simon delighted Mike.,M,IC1,Ferstl et al.(2010),english,Simon,Mike,delighted,Mike,Object,No,9.85E-12,Object,"Mike grinned widely, feeling his mood lift instantly.",Object,free
I26,Justin pleased Tony.,M,IC1,Ferstl et al.(2010),english,Justin,Tony,pleased,Tony,Object,No,3.42E-12,Object,Tony rewarded Justin with a smile.,Object,free
I27,Mike called Zack.,M,IC1,Ferstl et al.(2010),english,Mike,Zack,called,Z,Object,No,8.29E-12,Object,Zack picked up on the third ring.,Object,free
I28,Tony telephoned Ben.,M,IC1,Ferstl et al.(2010),english,Tony,Ben,telephoned,Ben,Object,No,1.16E-12,Object,Ben picked up on the third ring.,Object,free
I29,Eric concerned Paul.,M,IC1,Ferstl et al.(2010),english,Eric,Paul,concerned,Paul,Object,No,1.81E-12,Object,Paul had been acting strangely all week.,Object,free
I30,Zack irritated David.,M,IC1,Ferstl et al.(2010),english,Zack,David,irritated,David,Object,No,2.16E-11,Object,David decided to have a calm conversation with Zack to understand the issues better.,Object,free
I31,Ben antagonized Nick.,M,IC1,Ferstl et al.(2010),english,Ben,Nick,antagonized,Nick,Object,No,3.88E-10,Object,Nick decided to avoid Ben from then on.,Object,free
I32,Paul frustrated Steve.,M,IC1,Ferstl et al.(2010),english,Paul,Steve,frustrated,Steve,Object,No,2.71E-12,Object,Steve decided to have a talk with Paul about their communication issues.,Object,free
I33,David appalled Brian.,M,IC1,Ferstl et al.(2010),english,David,Brian,appalled,Brian,Object,No,1.45E-10,Object,Brian couldn't believe David's actions.,Object,free
I34,Nick captivated Frank.,M,IC1,Ferstl et al.(2010),english,Nick,Frank,captivated,Frank,Object,No,1.80E-11,Object,Frank found himself drawn into Nick's stories.,Object,free
I35,Steve inspired Simon.,M,IC1,Ferstl et al.(2010),english,Steve,Simon,inspired,Simon,Subject,No,3.49E-12,Object,Simon began to approach his projects with renewed enthusiasm.,Object,free
I36,Brian lied to Justin.,M,IC1,Ferstl et al.(2010),english,Brian,Justin,lied to,Justin,Object,No,4.22E-10,Object,Justin felt betrayed when he found out the truth.,Object,free
I37,Frank maddened Mike.,M,IC1,Ferstl et al.(2010),english,Frank,Mike,maddened,Mike,Object,No,1.52E-11,Object,Mike decided to take a deep breath and approach Frank calmly to discuss what was bothering him.,Object,free
I38,Simon peeved Tony.,M,IC1,Ferstl et al.(2010),english,Simon,Tony,peeved,Tony,Object,No,1.58E-11,Object,Tony decided to take a deep breath and calm down before responding.,Object,free
I39,Justin entranced Eric.,M,IC1,Ferstl et al.(2010),english,Justin,Eric,entranced,Eric,Object,No,4.49E-10,Object,Eric found himself completely drawn into Justin's world.,Object,free
I40,Mike intrigued Ben.,M,IC1,Ferstl et al.(2010),english,Mike,Ben,intrigued,Ben,Object,No,1.04E-09,Object,Ben decided to learn more about Mike's interests.,Object,free
I41,Tony repulsed Paul.,M,IC1,Ferstl et al.(2010),english,Tony,Paul,repulsed,Paul,Object,No,2.58E-11,Object,Paul felt a surge of surprise mixed with frustration at Tony's sudden rejection.,Object,free
I42,Eric worried David.,M,IC1,Ferstl et al.(2010),english,Eric,David,worried,David,Object,No,2.13E-11,Object,David decided to talk to Eric about his concerns.,Object,free
I43,Zack betrayed Nick.,M,IC1,Ferstl et al.(2010),english,Zack,Nick,betrayed,Nick,Object,No,8.77E-11,Object,Nick felt a deep sense of loss and betrayal.,Object,free
I44,Ben confessed to Steve.,M,IC1,Ferstl et al.(2010),english,Ben,Steve,confessed to,Steve,Object,No,4.09E-10,Object,Steve couldn't believe his ears.,Object,free
I45,Paul scared Brian.,M,IC1,Ferstl et al.(2010),english,Paul,Brian,scared,Brian,Object,No,9.14E-11,Object,Brian jumped back in surprise.,Object,free
I46,David wowed Frank.,M,IC1,Ferstl et al.(2010),english,David,Frank,wowed,Frank,Object,No,2.50E-10,Object,Frank could hardly believe his eyes.,Object,free
I47,Nick disappointed Simon.,M,IC1,Ferstl et al.(2010),english,Nick,Simon,disappointed,Simon,Object,No,3.39E-12,Object,Simon felt a surge of sadness and decided to talk to Nick about it.,Object,free
I48,Steve intimidated Justin.,M,IC1,Ferstl et al.(2010),english,Steve,Justin,intimidated,Justin,Object,No,2.03E-10,Object,Justin felt a surge of fear whenever Steve was around.,Object,free
I49,Brian bugged Mike.,M,IC1,Ferstl et al.(2010),english,Brian,Mike,bugged,Mike,Object,No,1.39E-11,Object,Mike felt annoyed by Brian's interference.,Object,free
I50,Frank daunted Tony.,M,IC1,Ferstl et al.(2010),english,Frank,Tony,daunted,Tony,Object,No,2.41E-10,Object,Tony felt a surge of hesitation and respect for Frank's presence.,Object,free
I51,Simon echoed Eric.,M,IC1,Ferstl et al.(2010),english,Simon,Eric,echoed,Eric,Object,No,4.80E-11,Object,"Simon then waited for further instructions, his eyes fixed intently on Eric.",Subject,free
I52,Justin enthralled Zack.,M,IC1,Ferstl et al.(2010),english,Justin,Zack,enthralled,Z,Object,No,1.86E-10,Object,Zack found himself completely captivated by Justin's every word.,Object,free
I53,Mike excited Paul.,M,IC1,Ferstl et al.(2010),english,Mike,Paul,excited,Paul,Object,No,1.42E-10,Object,Paul couldn't sit still after interacting with Mike.,Object,free
I54,Tony gladdened David.,M,IC1,Ferstl et al.(2010),english,Tony,David,gladdened,David,Object,No,2.73E-11,Object,"David smiled widely, feeling his mood lift immediately.",Object,free
I55,Eric mesmerised Nick.,M,IC1,Ferstl et al.(2010),english,Eric,Nick,mesmerised,Nick,Object,No,3.08E-10,Object,Nick found himself unable to look away from Eric.,Object,free
I56,Zack enraged Steve.,M,IC1,Ferstl et al.(2010),english,Zack,Steve,enraged,Steve,Object,No,7.25E-12,Object,"Steve stormed out of the room, slamming the door behind him.",Object,free
I57,Ben enticed Brian.,M,IC1,Ferstl et al.(2010),english,Ben,Brian,enticed,Brian,Subject,No,2.91E-11,Object,Brian found it hard to resist Ben's charm.,Object,free
I58,Paul provoked Frank.,M,IC1,Ferstl et al.(2010),english,Paul,Frank,provoked,Frank,Object,No,1.68E-11,Object,Frank's face turned red with anger.,Object,free
I59,David unnerved Simon.,M,IC1,Ferstl et al.(2010),english,David,Simon,unnerved,Simon,Object,No,1.32E-10,Object,Simon found himself constantly glancing over to where David was sitting.,Object,free
I60,Nick frightened Justin.,M,IC1,Ferstl et al.(2010),english,Nick,Justin,frightened,Justin,Object,No,2.68E-11,Object,Justin's heart raced as he tried to steady his breathing.,Object,free
I61,Steve troubled Mike.,M,IC1,Ferstl et al.(2010),english,Steve,Mike,troubled,Mike,Object,No,6.87E-11,Object,Mike decided to talk things out with Steve to understand the issues between them.,Object,free
I62,Brian repelled Tony.,M,IC1,Ferstl et al.(2010),english,Brian,Tony,repelled,Tony,Object,No,2.14E-11,Object,"Tony, undeterred, decided to approach Brian from a different angle.",Object,free
I63,Frank sickened Eric.,M,IC1,Ferstl et al.(2010),english,Frank,Eric,sickened,Eric,Object,No,2.29E-10,Object,Eric decided to talk to Frank about his concerns.,Object,free
I64,Simon revolted Zack.,M,IC1,Ferstl et al.(2010),english,Simon,Zack,revolted,Z,Object,No,4.20E-10,Object,Zack felt surprised by Simon's sudden defiance.,Object,free
I65,Justin trailed Ben.,M,IC1,Ferstl et al.(2010),english,Justin,Ben,trailed,Ben,Object,No,8.86E-12,Object,Ben seemed unaware of the silent follow.,Object,free
I66,Mike upset David.,M,IC1,Ferstl et al.(2010),english,Mike,David,upset,David,Object,No,1.26E-08,Object,David decided to talk to Mike about what happened.,Object,free
I67,Tony exhausted Nick.,M,IC1,Ferstl et al.(2010),english,Tony,Nick,exhausted,Nick,Object,No,8.31E-09,Object,Nick felt completely drained after their intense workout session together.,Object,free
I68,Eric wearied Steve.,M,IC1,Ferstl et al.(2010),english,Eric,Steve,wearied,Steve,Object,No,2.23E-10,Object,Steve decided to take a break and enjoy some quiet time alone.,Object,free
I69,Zack staggered Brian.,M,IC1,Ferstl et al.(2010),english,Zack,Brian,staggered,Brian,Object,No,1.17E-10,Object,"Brian stumbled back, barely catching his balance.",Object,free
I70,Ben cheated Frank.,M,IC1,Ferstl et al.(2010),english,Ben,Frank,cheated,Frank,Object,No,8.92E-11,Object,Frank felt betrayed when he found out.,Object,free
I71,Paul repaid Simon.,M,IC1,Ferstl et al.(2010),english,Paul,Simon,repaid,Simon,Object,No,1.76E-12,Object,Simon felt a weight lift off his shoulders.,Object,free
I72,David astounded Justin.,M,IC1,Ferstl et al.(2010),english,David,Justin,astounded,Justin,Object,No,7.96E-11,Object,Justin could hardly believe his eyes.,Object,free
I73,Nick exhilarated Mike.,M,IC1,Ferstl et al.(2010),english,Nick,Mike,exhilarated,Mike,Object,No,6.78E-12,Object,Mike felt a surge of energy and excitement as a result.,Object,free
I74,Steve spooked Tony.,M,IC1,Ferstl et al.(2010),english,Steve,Tony,spooked,Tony,Object,No,1.42E-11,Object,"Tony jumped back, his eyes wide with surprise.",Object,free
I75,Brian unsettled Eric.,M,IC1,Ferstl et al.(2010),english,Brian,Eric,unsettled,Eric,Object,No,9.51E-11,Object,Eric decided to give Brian the benefit of the doubt.,Object,free
I76,Frank flabbergasted Zack.,M,IC1,Ferstl et al.(2010),english,Frank,Zack,flabbergasted,Z,Object,No,3.88E-11,Object,Zack couldn't believe what Frank had just done.,Object,free
I77,Simon kissed Ben.,M,IC1,Ferstl et al.(2010),english,Simon,Ben,kissed,Ben,Object,No,3.89E-12,Object,Ben wrapped his arms around Simon.,Object,free
I78,Justin nuzzled Paul.,M,IC1,Ferstl et al.(2010),english,Justin,Paul,nuzzled,Paul,Object,No,3.12E-12,Object,Paul smiled and wrapped his arms around Justin.,Object,free
I79,Mike pained Nick.,M,IC1,Ferstl et al.(2010),english,Mike,Nick,pained,Nick,Object,No,3.73E-10,Object,"Nick felt a surge of emotion, not sure if it was anger or sadness.",Object,free
I80,Tony confused Steve.,M,IC1,Ferstl et al.(2010),english,Tony,Steve,confused,Steve,Object,No,2.15E-11,Object,"Steve furrowed his brow, trying to understand what Tony meant.",Object,free
I81,Eric distressed Brian.,M,IC1,Ferstl et al.(2010),english,Eric,Brian,distressed,Brian,Object,No,3.59E-10,Object,Brian felt a surge of sadness and confusion in response.,Object,free
I82,Zack vexed Frank.,M,IC1,Ferstl et al.(2010),english,Zack,Frank,vexed,Frank,Object,No,3.10E-12,Object,Frank decided to take a deep breath and address the issue calmly with Zack.,Object,free
I83,Ben bothered Simon.,M,IC1,Ferstl et al.(2010),english,Ben,Simon,bothered,Simon,Object,No,5.14E-10,Object,Simon looked annoyed at Ben.,Object,free
I84,Paul alarmed Justin.,M,IC1,Ferstl et al.(2010),english,Paul,Justin,alarmed,Justin,Object,No,3.45E-11,Object,Justin jumped out of his seat in surprise.,Object,free
I85,David disgruntled Mike.,M,IC1,Ferstl et al.(2010),english,David,Mike,disgruntled,Mike,Object,No,2.67E-10,Object,Mike decided to talk things out with David to ease the tension.,Object,free
I86,Nick plagued Tony.,M,IC1,Ferstl et al.(2010),english,Nick,Tony,plagued,Tony,Object,No,7.46E-12,Object,Tony felt a wave of frustration wash over him.,Object,free
I87,Steve shadowed Eric.,M,IC1,Ferstl et al.(2010),english,Steve,Eric,shadowed,Eric,Object,No,1.35E-11,Object,Eric felt a presence but couldn't shake off the subtle tracking of Steve.,Object,free
I88,Brian tailed Zack.,M,IC1,Ferstl et al.(2010),english,Brian,Zack,tailed,Z,Object,No,3.70E-11,Object,Zack was unaware of Brian's presence.,Object,free
I89,Frank incensed Ben.,M,IC1,Ferstl et al.(2010),english,Frank,Ben,incensed,Ben,Object,No,2.99E-11,Object,Ben's face turned red with anger.,Object,free
I90,Simon baffled Paul.,M,IC1,Ferstl et al.(2010),english,Simon,Paul,baffled,Paul,Object,No,3.00E-11,Object,"Paul stared at Simon, trying to understand what just happened.",Object,free
I91,Justin shocked David.,M,IC1,Ferstl et al.(2010),english,Justin,David,shocked,David,Object,No,3.20E-11,Object,David couldn't believe what he was seeing.,Object,free
I92,Mike disobeyed Steve.,M,IC1,Ferstl et al.(2010),english,Mike,Steve,disobeyed,Steve,Object,No,3.55E-11,Object,Mike felt a pang of guilt as he realized the consequences of his actions.,Subject,free
I93,Tony distracted Brian.,M,IC1,Ferstl et al.(2010),english,Tony,Brian,distracted,Brian,Object,No,8.38E-12,Object,"Brian, caught off guard, couldn't focus on the task at hand.",Object,free
I94,Eric married Frank.,M,IC1,Ferstl et al.(2010),english,Eric,Frank,married,Frank,Object,No,3.31E-11,Object,Frank became incredibly happy as he started this new chapter with Eric.,Object,free
I95,Zack met Simon.,M,IC1,Ferstl et al.(2010),english,Zack,Simon,met,Simon,Object,No,9.39E-13,Object,Simon immediately struck Zack as a friendly and approachable person.,Object,free
I96,Ben ordered around Justin.,M,IC1,Ferstl et al.(2010),english,Ben,Justin,ordered around,Justin,Object,No,9.13E-10,Object,"Justin, feeling a bit frustrated, decided to follow the orders silently.",Object,free
I97,Paul harmed Mike.,M,IC1,Ferstl et al.(2010),english,Paul,Mike,harmed,Mike,Object,No,3.19E-11,Object,Mike felt a surge of pain from the impact.,Object,free
I98,David astonished Tony.,M,IC1,Ferstl et al.(2010),english,David,Tony,astonished,Tony,Object,No,7.51E-11,Object,Tony could hardly believe his eyes.,Object,free
I99,Nick bewildered Eric.,M,IC1,Ferstl et al.(2010),english,Nick,Eric,bewildered,Eric,Object,No,1.51E-10,Object,Eric couldn't understand what Nick meant.,Object,free
I100,Steve invigorated Zack.,M,IC1,Ferstl et al.(2010),english,Steve,Zack,invigorated,Z,Object,No,6.42E-12,Object,Zack felt a surge of energy and motivation.,Object,free
I101,Brian tantalized Ben.,M,IC1,Ferstl et al.(2010),english,Brian,Ben,tantalized,Ben,Subject,No,1.61E-11,Object,Ben's curiosity grew with each passing moment.,Object,free
I102,Frank battled Paul.,M,IC1,Ferstl et al.(2010),english,Frank,Paul,battled,Paul,Object,No,3.75E-11,Object,"Frank emerged victorious, leaving Paul in shock.",Subject,free
I103,Simon hurt David.,M,IC1,Ferstl et al.(2010),english,Simon,David,hurt,David,Object,No,1.60E-11,Object,David felt both physical pain and emotional distress from the incident.,Object,free
I104,Justin followed Nick.,M,IC1,Ferstl et al.(2010),english,Justin,Nick,followed,Nick,Object,No,7.79E-13,Object,Nick seemed to have a plan in mind.,Object,free
I105,Mike tormented Brian.,M,IC1,Ferstl et al.(2010),english,Mike,Brian,tormented,Brian,Object,No,6.32E-10,Object,Brian decided to confront Mike about his behavior.,Object,free
I106,Tony grazed Frank.,M,IC1,Ferstl et al.(2010),english,Tony,Frank,grazed,Frank,Object,No,2.64E-12,Object,Frank winced at the touch.,Object,free
I107,Eric played Simon.,M,IC1,Ferstl et al.(2010),english,Eric,Simon,played,Simon,Object,No,2.40E-10,Object,"Simon laughed, enjoying the game they were playing.",Object,free
I108,Zack dumbfounded Justin.,M,IC1,Ferstl et al.(2010),english,Zack,Justin,dumbfounded,Justin,Object,No,4.41E-10,Object,Justin could not believe what Zack had just done.,Object,free
I109,Ben flattered Mike.,M,IC1,Ferstl et al.(2010),english,Ben,Mike,flattered,Mike,Object,No,2.14E-11,Object,"Mike blushed, not used to such compliments.",Object,free
I110,Paul alienated Tony.,M,IC1,Ferstl et al.(2010),english,Paul,Tony,alienated,Tony,Object,No,8.20E-11,Object,Tony decided to spend time away from Paul to cool off.,Object,free
I111,David harassed Eric.,M,IC1,Ferstl et al.(2010),english,David,Eric,harassed,Eric,Object,No,4.03E-10,Object,Eric decided to report the behavior to a supervisor.,Object,free
I112,Nick approached Zack.,M,IC1,Ferstl et al.(2010),english,Nick,Zack,approached,Z,Object,No,6.22E-13,Object,Zack looked up as Nick came closer.,Object,free
I113,Steve beguiled Ben.,M,IC1,Ferstl et al.(2010),english,Steve,Ben,beguiled,Ben,Object,No,4.51E-10,Object,Ben found himself increasingly charmed despite his initial skepticism.,Object,free
I114,Brian caressed Paul.,M,IC1,Ferstl et al.(2010),english,Brian,Paul,caressed,Paul,Object,No,2.63E-12,Object,Paul closed his eyes and leaned into the touch.,Object,free
I115,Frank enlivened David.,M,IC1,Ferstl et al.(2010),english,Frank,David,enlivened,David,Object,No,1.18E-11,Object,David began to see the world with renewed enthusiasm.,Object,free
I116,Simon corrupted Nick.,M,IC1,Ferstl et al.(2010),english,Simon,Nick,corrupted,Nick,Object,No,1.69E-09,Object,Nick began to question his own morals after spending more time with Simon.,Object,free
I117,Justin confounded Steve.,M,IC1,Ferstl et al.(2010),english,Justin,Steve,confounded,Steve,Object,No,4.34E-12,Object,"Steve found himself scratching his head, trying to understand Justin's point.",Object,free
I118,Mike deserted Frank.,M,IC1,Ferstl et al.(2010),english,Mike,Frank,deserted,Frank,Object,No,5.30E-10,Object,Frank felt a deep sense of betrayal.,Object,free
I119,Tony discouraged Simon.,M,IC1,Ferstl et al.(2010),english,Tony,Simon,discouraged,Simon,Object,No,1.74E-11,Object,Simon felt disappointed but decided to take Tony's advice into consideration.,Object,free
I120,Eric tracked Justin.,M,IC1,Ferstl et al.(2010),english,Eric,Justin,tracked,Justin,Object,No,5.37E-13,Object,Eric then hid behind a bush to observe Justin's next move.,Subject,free
I121,Zack startled Mike.,M,IC1,Ferstl et al.(2010),english,Zack,Mike,startled,Mike,Object,No,3.70E-12,Object,Mike jumped back in surprise.,Object,free
I122,Ben defamed Tony.,M,IC1,Ferstl et al.(2010),english,Ben,Tony,defamed,Tony,Object,No,1.71E-11,Object,Tony decided to take legal action against Ben.,Object,free
I123,Paul abandoned Eric.,M,IC1,Ferstl et al.(2010),english,Paul,Eric,abandoned,Eric,Object,No,1.07E-10,Object,Eric felt a deep sense of betrayal.,Object,free
I124,David courted Zack.,M,IC1,Ferstl et al.(2010),english,David,Zack,courted,Z,Object,No,2.18E-10,Object,Zack found himself increasingly drawn to David's charming demeanor.,Object,free
I125,Nick wounded Ben.,M,IC1,Ferstl et al.(2010),english,Nick,Ben,wounded,Ben,Object,No,2.82E-11,Object,"Ben fell to the ground, clutching his injury.",Object,free
I126,Steve chilled Paul.,M,IC1,Ferstl et al.(2010),english,Steve,Paul,chilled,Paul,Object,No,1.37E-11,Object,Paul felt increasingly calm and relaxed.,Object,free
I127,Brian nettled David.,M,IC1,Ferstl et al.(2010),english,Brian,David,nettled,David,Object,No,1.32E-10,Object,David felt a surge of irritation towards Brian.,Object,free
I128,Frank pursued Nick.,M,IC1,Ferstl et al.(2010),english,Frank,Nick,pursued,Nick,Object,No,3.53E-12,Object,Nick quickly tried to hide.,Object,free
I129,Simon dreamed about Steve.,M,IC1,Ferstl et al.(2010),english,Simon,Steve,dreamed about,Steve,Subject,No,4.62E-12,Object,"Steve was always smiling, no matter how challenging the situation was.",Object,free
I130,Justin galled Brian.,M,IC1,Ferstl et al.(2010),english,Justin,Brian,galled,Brian,Object,No,6.07E-12,Object,Brian decided to ignore Justin's provocations.,Object,free
I131,Mike stimulated Simon.,M,IC1,Ferstl et al.(2010),english,Mike,Simon,stimulated,Simon,Object,No,3.87E-10,Object,Simon felt a surge of energy and was ready to take on the project they had been procrastinating.,Object,free
I132,Tony affected Justin.,M,IC1,Ferstl et al.(2010),english,Tony,Justin,affected,Justin,Object,No,5.05E-11,Object,Justin felt a significant change in his mood after interacting with Tony.,Object,free
I133,Eric embraced Mike.,M,IC1,Ferstl et al.(2010),english,Eric,Mike,embraced,Mike,Object,No,1.58E-12,Object,"Mike smiled, feeling the warmth of Eric's embrace.",Object,free
I134,Zack fazed Tony.,M,IC1,Ferstl et al.(2010),english,Zack,Tony,fazed,Tony,Object,No,8.04E-11,Object,"Tony felt a chill run down his spine, unsure if Zack had just made a subtle insult or was testing his reaction to seemingly harmless comments.",Object,free
I135,Ben debated with Eric.,M,IC1,Ferstl et al.(2010),english,Ben,Eric,debated with,Eric,Object,No,3.08E-11,Object,Eric presented his arguments firmly.,Object,free
I136,Paul defied Zack.,M,IC1,Ferstl et al.(2010),english,Paul,Zack,defied,Z,Object,No,1.65E-11,Object,Zack felt a surge of frustration but decided to calmly talk things over with Paul.,Object,free
I137,David questioned Ben.,M,IC1,Ferstl et al.(2010),english,David,Ben,questioned,Ben,Object,No,3.22E-11,Object,Ben looked surprised by the sudden inquiry.,Object,free
I138,Nick assisted Paul.,M,IC2,Rohde & Kehler (2014),english,Nick,Paul,assisted,Paul,Object,No,4.56E-12,Object,Paul felt grateful for the help.,Object,free
I139,Steve blames David.,M,IC2,Rohde & Kehler (2014),english,Steve,David,blames,David,Object,No,1.62E-12,Object,"David, however, maintains his innocence.",Object,free
I140,Brian comforted Nick.,M,IC2,Rohde & Kehler (2014),english,Brian,Nick,comforted,Nick,Object,No,3.81E-11,Object,Nick felt a wave of relief wash over him.,Object,free
I141,Frank congratulated Steve.,M,IC2,Rohde & Kehler (2014),english,Frank,Steve,congratulated,Steve,Object,No,6.82E-14,Object,Steve blushed as he accepted the praise.,Object,free
I142,Simon corrected Brian.,M,IC2,Rohde & Kehler (2014),english,Simon,Brian,corrected,Brian,Object,No,2.54E-10,Object,"Brian nodded, accepting the correction graciously.",Object,free
I143,Justin detests Frank.,M,IC2,Rohde & Kehler (2014),english,Justin,Frank,detests,Frank,Object,No,1.22E-12,Object,"Frank, on the other hand, is oblivious to Justin's feelings.",Object,free
I144,Mike fears Justin.,M,IC2,Rohde & Kehler (2014),english,Mike,Justin,fears,Justin,Object,No,6.41E-11,Object,Justin has a reputation for being unpredictable.,Object,free
I145,Tony envies Mike.,M,IC2,Rohde & Kehler (2014),english,Tony,Mike,envies,Mike,Object,No,8.56E-12,Object,Mike seems to have all the luck in the world.,Object,free
I146,Eric hates Tony.,M,IC2,Rohde & Kehler (2014),english,Eric,Tony,hates,Tony,Object,No,7.03E-13,Object,Eric avoids Tony whenever possible.,Subject,free
I147,Zack helped Eric.,M,IC2,Rohde & Kehler (2014),english,Zack,Eric,helped,Eric,Object,No,2.30E-11,Object,Eric felt grateful for Zack's assistance.,Object,free
I148,Ben mocked Zack.,M,IC2,Rohde & Kehler (2014),english,Ben,Zack,mocked,Z,Object,No,2.35E-11,Object,Zack felt hurt by Ben's words.,Object,free
I149,Paul noticed Ben.,M,IC2,Rohde & Kehler (2014),english,Paul,Ben,noticed,Ben,Object,No,2.88E-12,Object,Ben seemed nervous under Paul's gaze.,Object,free
I150,David pacified Paul.,M,IC2,Rohde & Kehler (2014),english,David,Paul,pacified,Paul,Object,No,3.96E-11,Object,Paul's nerves calmed down immediately.,Object,free
I151,Nick praised David.,M,IC2,Rohde & Kehler (2014),english,Nick,David,praised,David,Object,No,4.31E-13,Object,David felt a warm sense of accomplishment.,Object,free
I152,Steve reproached Nick.,M,IC2,Rohde & Kehler (2014),english,Steve,Nick,reproached,Nick,Object,No,2.83E-11,Object,Nick felt defensive and prepared to explain his side of the story.,Object,free
I153,Brian scolded Steve.,M,IC2,Rohde & Kehler (2014),english,Brian,Steve,scolded,Steve,Object,No,3.16E-12,Object,"Steve looked down, feeling embarrassed by his mistake.",Object,free
I154,Frank stared at Brian.,M,IC2,Rohde & Kehler (2014),english,Frank,Brian,stared at,Brian,Object,No,2.77E-13,Object,Brian felt a mix of curiosity and unease under Frank's intense gaze.,Object,free
